id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation,difficulty,source_url,source_verified,confidence,publication_status,issue_type,review_notes
agent_dirok_20260801_0009,Dîrok,ku-kmr,Wadie Jwaideh di lêkolîna xwe de ji kîjan komê çavkaniyan sûd werdigire?,Tenê ji belgeyên Fransî û Almanî,"Ji çavkaniyên Îngilîzî, Fransî, Erebî, Kurdî û Farisî",Tenê ji gotinên devkî yên Sûriyeyê,Ji nivîsarên latînî yên serdema Romayê,B,"Ji çavkaniyên Îngilîzî, Fransî, Erebî, Kurdî û Farisî","Nivîsê dibêje ku Jwaideh ji çavkaniyên bi Îngilîzî, Fransî, Erebî, Kurdî û Farisî sûd wergirtiye.",3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Zimanên çavkaniyan kontrol kirin.
agent_dirok_20260801_0010,Dîrok,ku-kmr,"Pirtûka Nationalism and Language in Kurdistan, 1918-1985 ya Amir Hassanpour kîjan serdemê digire nav xwe?",1918 heta 1985,1880 heta 1925,1923 heta 1945,1960 heta 1980,A,1918 heta 1985,Navê pirtûkê bi xwe navbera salên 1918 û 1985an nîşan dide.,2,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Dîroka navê berhemê.
agent_dirok_20260801_0011,Dîrok,ku-kmr,"Li gorî nivîsê, Amir Hassanpour di pirtûka xwe de kîjan hêmanan wekî alîkarên domandina têkoşîna nasnameya Kurdî vedikole?",Ziman û çand,Bazirganî û avahîsazî,Şerê deryayî û bazirganiya navneteweyî,Stêrnasî û derman,A,Ziman û çand,Nivîsê rola girîng a ziman û çandê di domandina têkoşîna Kurdan ji bo piştrastkirina nasnameya wan de destnîşan dike.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Rola ziman û çandê.
agent_dirok_20260801_0012,Dîrok,ku-kmr,"Kîjan mijarên li ser siyasetên dewletê, çapkirina pirtûkan, çapemeniya rojnameyê û perwerdehiyê di nivîsê de bi kîjan berhemê re têkildar in?","Nationalism and Language in Kurdistan, 1918-1985",A Modern History of the Kurds,The Kurdish Republic of 1946,Historical Dictionary of the Kurds,A,"Nationalism and Language in Kurdistan, 1918-1985",Nivîsê van mijaran di beşa berhema Amir Hassanpour de bi rêza ziman û çandê re girê dide.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.97,approved,,Mijar û berhem hevhatin.
agent_dirok_20260801_0013,Dîrok,ku-kmr,Maria T. O’Shea di Trapped between the Map and Reality de kîjan dijberiyê dixebitîne?,Di navbera ziman û olê de,Di navbera hişmendiya çandî ya zêde û nebûna jiyana siyasî ya konsepta Kurdistanê de,Di navbera bazirganiya bajar û gund de,Di navbera dîroka kevn û stêrnasiyê de,B,Di navbera hişmendiya çandî ya zêde û nebûna jiyana siyasî ya konsepta Kurdistanê de,Nivîsê dijberiya di navbera xwehişmendiya dîrokî û çandî ya zêde û nebûna jiyana siyasî ya konsepta cografî ya Kurdistanê rave dike.,5,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.97,approved,,"Pirsê analîtîk e, ne şablon."
agent_dirok_20260801_0014,Dîrok,ku-kmr,O’Shea ji bo pêvajoya lêkolîna xwe li ser Kurdistanê ji kîjan qadên zanistê sûd wergirtiye?,"Antropolojî, cografya û dîrok","Kimya, biyolojî û jeolojî","Matematîk, fîzîk û astronomî","Hiqûq, muzîk û mîmarî",A,"Antropolojî, cografya û dîrok",Nivîsê dibêje ku O’Shea daneyên antropolojî û cografyayê bi dîrokê re bikar aniye.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Qadên lêkolînê rast in.
agent_dirok_20260801_0015,Dîrok,ku-kmr,Pirtûka Kurdistan: In the Shadow of History ya Susan Meiselas li ser kîjan demê çalakiyên Kurdistanê rawestiyaye?,Ji Şerê Cîhanê Yê Yekem heta sala 2004an,Ji sala 1597an heta 1700an,Tenê di dema Şerê Cîhanê Yê Duyem de,Ji sala 1970an heta 1975an,A,Ji Şerê Cîhanê Yê Yekem heta sala 2004an,Nivîsê dibêje ku Meiselas wêne û nivîsarên rojnameyên hevdem ên bûyerên Kurdistanê ji Şerê Cîhanê Yê Yekem heta 2004an berhev kiriye.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Dem û berhem rasterast in.
agent_dirok_20260801_0016,Dîrok,ku-kmr,M. S. Lazarev di berhemên xwe de bi taybetî kîjan du demên dîroka nûjen a Kurdî vedikole?,1917-1923 û 1923-1945,1597-1610 û 1700-1710,1880-1885 û 2000-2005,1946-1950 û 1970-1975,A,1917-1923 û 1923-1945,Nivîsê du berhemên Lazarev bi nav dike: yek ji bo 1917-1923 û ya din ji bo 1923-1945.,4,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Du navberên salan kontrol kirin.
agent_dirok_20260801_0017,Dîrok,ku-kmr,"Li gorî analîza Lazarev, kîjan sê hêmanan li pêşberî hewildanên Kurdan ji bo serxwebûnê asteng çêkirin?","Berjewendiyên hêzên mezin, redkirina mafê xwebirêvebirinê û astengiyên hundirîn ên civakê",Tenê kêmbûna avahiyên bajarî,Zêdebûna çapemeniya Kurdî û perwerdehiya nû,Dijwarbûna rêyên bazirganiyê û kêmbûna zeviyên çandiniyê,A,"Berjewendiyên hêzên mezin, redkirina mafê xwebirêvebirinê û astengiyên hundirîn ên civakê","Nivîsê sê sedeman dide: berjewendiyên hêzên mezin, redkirina mafê xwebirêvebirinê ji aliyê hukûmetan ve û astengiya civakê ji bo komkirina çavkaniyan û yekîtiya giyanî.",5,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Sê sedemên nivîsê.
agent_dirok_20260801_0018,Dîrok,ku-kmr,Hamit Bozarslan di La Question kurde de mijara Kurdan li kîjan welatan digere?,"Tirkiye, Iraq, Îran û Sûriye",Tenê Tirkiye û Iraq,"Îran, Ermenistan û Gurcistan","Misir, Lubnan û Urdun",A,"Tirkiye, Iraq, Îran û Sûriye",Nivîsê berhema Bozarslan wekî lêkolînek li ser siyaseta Kurdan û rewşa hindikayetan di van çar welatan de nîşan dide.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Navçeya lêkolînê rast e.
agent_dirok_20260801_0019,Dîrok,ku-kmr,"Di lêkolîna Gunter Behrendt de, serhildana ku di sala 1880an de bi taybetî tê nîqaşkirin ji aliyê kî ve hatibû rêberîkirin?",Ubaydullah,Malmîsanij,David McDowall,William Eagleton,A,Ubaydullah,Nivîsê Ubaydullah wekî rêberê serhildana mezin a sala 1880an binav dike.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Kes û sal rasterast in.
agent_dirok_20260801_0020,Dîrok,ku-kmr,Berhema Robert Olson The Emergence of Kurdish Nationalism and the Sheikh Said Rebellion kîjan navbera salan digire nav xwe?,1880-1925,1918-1985,1923-1945,1960-1970,A,1880-1925,Nivîsê berhema Olson bi navberê 1880 heta 1925 ve girê dide û wê bi serhildana Şêx Said re têkildar dike.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Navbera salan rast e.
agent_dirok_20260801_0021,Dîrok,ku-kmr,Djene Rhys Bajalan di Jön Kürtler: Birinci Dünya Savaşı’ndan önce Kürt Hareketi de kîjan navbera salan vedikole?,1898-1914,1880-1925,1912-1922,1975-1991,A,1898-1914,"Nivîsê berhema Bajalan bi çalakiyên tevgera Kurdî berî Şerê Cîhanê Yê Yekem, di navbera 1898 û 1914an de, girê dide.",4,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Dem û mijar bi nivîsê re.
agent_dirok_20260801_0022,Dîrok,ku-kmr,Lêkolîna Dzhalile Dzhalil li ser jiyana civakî-siyasî ya Kurdan di dawiya sedsala 19an û destpêka sedsala 20an de çi dide ber çavan?,"Rola rêxistinên siyasî, perwerdehiyê û rojnameyan",Tenê dîroka mîrgehên serdema navîn,Pêşketina çandiniya li herêmên gundî,Dîroka bazirganiya deryayî ya Îranê,A,"Rola rêxistinên siyasî, perwerdehiyê û rojnameyan",Nivîsê dibêje ku analîza Dzhalil li ser rêxistinên siyasî û perwerdehiyê û rojnameyan agahiyên girîng dide.,4,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Mijara analîzê rast e.
agent_dirok_20260801_0023,Dîrok,ku-kmr,Kîjan mijar di berhema Malmîsanij de bi navê Abdurrahman Bedirhan re tê girêdan?,Rojnameya yekem a Kurdî û edîtorê wê,Dîroka Komara Mehabadê,Rêxistina yekem a xwendekarên Ewrûpayê,Şerê Mosulê û siyaseta Brîtanyayê,A,Rojnameya yekem a Kurdî û edîtorê wê,"Nivîsê berhema Malmîsanij bi lêkolîna rojnameya yekem a Kurdî û edîtorê wê, Abdurrahman Bedirhan, re girê dide.",4,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Nav û mijar kontrol kirin.
agent_dirok_20260801_0024,Dîrok,ku-kmr,"Kürt Talebe-Hêvî Cemiyeti, ku di nivîsê de wekî rêxistina xwendekarên Kurdî ya yekem a qanûnî tê naskirin, di kîjan navberê de çalak bû?",1898-1914,1912-1922,1923-1945,1960-1970,B,1912-1922,Nivîsê dibêje ku ev rêxistin di Stenbolê de bi şaxên xwe li parêzgehan di navbera 1912 û 1922an de dixebitî.,4,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Navbera çalakiyê rast e.
agent_dirok_20260801_0025,Dîrok,ku-kmr,C. J. Edmonds di berhema xwe de li ser kîjan du mijaran bi taybetî agahî dide?,Têkiliyên Brîtanyayê bi Şêx Mahmûd Barzincî re û Komîsyona Mosulê,Rojnameya Kurdistanê û kovara Jînê,Komara Mehabadê û siyaseta Sovyetê,Serhildana 1880an û serhildana Şêx Said,A,Têkiliyên Brîtanyayê bi Şêx Mahmûd Barzincî re û Komîsyona Mosulê,"Nivîsê diyar dike ku Edmonds li ser siyaseta Brîtanyayê li Iraqê, têkiliyên wê bi Şêx Mahmûd Barzincî re û beşdariya xwe di Komîsyona Mosulê de dinivîse.",5,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Mijarên Edmondsê rast in.
agent_dirok_20260801_0026,Dîrok,ku-kmr,"Li gorî nivîsê, berhema William Eagleton li ser kîjan bûyerê ye?",Hebûna kurt a Komara Mehabadê li Îranê di sala 1946an de,Rojnameya yekem a Kurdî li Qahîreyê,Rêxistina Hêvî ya xwendekaran,Peymana navdewletî ya sala 1923an,A,Hebûna kurt a Komara Mehabadê li Îranê di sala 1946an de,Nivîsê berhema Eagleton wekî hesabekî ji bo hebûna kurt a Komara Mehabadê ya sala 1946an li Îranê pêşkêş dike.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Bûyer û sal kontrol kirin.
agent_dirok_20260801_0027,Dîrok,ku-kmr,Kîjan taybetmendî di nivîsê de ji Historical Dictionary of the Kurds re tê dayîn?,Pirtûk tenê li ser rêzimana Kurmancî ye,"Ji bilî ferhenga kes, cih û sazîyan, bîbliyografiyeke pêncî-rûpelî jî heye",Tenê wêneyên bûyerên Kurdistanê berhev dike,Tenê dîroka tevgera Kurdî ya di sala 1970an de vedikole,B,"Ji bilî ferhenga kes, cih û sazîyan, bîbliyografiyeke pêncî-rûpelî jî heye","Nivîsê dibêje ku berhema Michael M. Gunter ferhengeke kes, cih û sazîyan û bîbliyografiyeke pêncî-rûpelî ya berhemên bi Îngilîzî dihewîne.",4,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.98,approved,,Naveroka berhemê rast e.
agent_dirok_20260801_0028,Dîrok,ku-kmr,Berhema Li Kurdistana Bakur û li Tirkiyê Rojnamegeriya Kurdî kîjan navbera salan vedikole?,1597-1610,1880-1925,1908-1992,1946-1970,C,1908-1992,Nivîsê berhema Malmîsanij û Mahmûd Lewendî wekî dîrok û bîbliyografiya çapemeniya Kurdî ya navbera 1908 û 1992an binav dike.,4,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Navbera çapemeniya Kurdî.
agent_dirok_20260801_0029,Dîrok,ku-kmr,The Journal of Kurdish Studies di nivîsê de bi kîjan agahiyê tê naskirin?,Ji sala 1597an ve li Amedê hatiye weşandin,Pêncî hejmarên li ser dîroka Romayê çap kiriye,Şeş hejmar di navbera 1995 û 2008an de li Louvainê çap kiriye,Tenê di sala 1970an de li Baghdadê hatiye weşandin,C,Şeş hejmar di navbera 1995 û 2008an de li Louvainê çap kiriye,Nivîsê dibêje ku kovara The Journal of Kurdish Studies şeş hejmarên xwe di navbera 1995 û 2008an de li Louvainê çap kiriye.,3,https://www.iranicaonline.org/articles/kurds-studies-of-modern-kurdish-history/,verified,0.99,approved,,Agahiyên weşanê rast in.
es_20260801_0001,Edebiyat,ku-kmr,"Berî sedsala 20an, kîjan cureya wêjeya nivîskî ya Kurdî zêdetir pêşketibû?",Helbest,Roman,Şanogerî,Rojnamevanî,A,Helbest,"Li gorî gotarê, berhema nivîskî ya Kurdî berî sedsala 20an bi piranî ji helbestê pêk dihat; wêjeya pexşan paşê pêş ket.",1,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Rastiya gotarê piştrast dike.
es_20260801_0002,Edebiyat,ku-kmr,Pêşketina wêjeya pexşana Kurdî di sedsala 20an de bi kîjan pêvajoyan re tê girêdan?,Bi pêvajoyên civakî û siyasî re,Bi bazirganiya deryayî re,Bi pêşketina avahiyên leşkerî re,Bi guhertina demsalan re,A,Bi pêvajoyên civakî û siyasî re,Gotar pêşketina pexşanê di her du zaravayên sereke de bi pêvajoyên civakî û siyasî re girê dide.,2,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Piştrastkirina rasterast a çavkaniyê.
es_20260801_0003,Edebiyat,ku-kmr,Çima şêwaz û wêneyên helbesta nivîskî ya herî kevn a Kurdî bi helbesta Erebî-Farisî re nêzîk in?,Ji ber bandora modelên helbesta Erebî-Farisî,Ji ber ku hemû helbest bi zimanê Farisî hatine nivîsandin,Ji ber ku tenê helbesta devkî hebû,Ji ber ku pîvana deh-hejmarî tenê pîvana Kurdî ye,A,Ji ber bandora modelên helbesta Erebî-Farisî,"Gotar dibêje ku şêwaz, ziman û wêneyên helbesta kevn bi modelên helbesta Erebî-Farisî re dişibin.",3,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.97,approved,,Bingeh li ser agahiyên çavkaniyê ye.
es_20260801_0004,Edebiyat,ku-kmr,Kîjan nav di nav pênc helbestvanên destpêkê yên dibistana Kormancî de tê dîtin?,Melayê Cizîrî,Nalî,Goran,Şêx Reza Talebanî,A,Melayê Cizîrî,"Melayê Cizîrî, Faqiyê Teyran, Melayê Bateyî, Ehmedê Xanî û Elî Herîrî di nav pênc navên destpêkê yên dibistana Kormancî de ne.",2,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Nav û koma çavkaniyê kontrol kirin.
es_20260801_0005,Edebiyat,ku-kmr,Dibistana Kormancî kîjan zaravayê wekî zimanê wêjeyî bikar dianî?,Zaravayê Kormancî yê Cizîra-Botanê,Zaravayê Goranî yê Silemaniyê,Zaravayê Soranî yê Hewlêrê,Zaravayê Erebî yê Şamê,A,Zaravayê Kormancî yê Cizîra-Botanê,Gotar dibêje ku dibistana Kormancî zaravayê Kormancî yê Cizîra-Botanê wekî zimanê wêjeyî bikar dianî.,2,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Agahî bi hevoka çavkaniyê re hevaheng e.
es_20260801_0006,Edebiyat,ku-kmr,Di berhemên Melayê Cizîrî de kîjan cureyên helbestê tên naskirin?,Qesîde û xezel,Roman û dram,Mewlûd û çîrok,Rojname û kovar,A,Qesîde û xezel,"Li gorî gotarê, berhemên Melayê Cizîrî qesîde û xezel dihewînin û bandora helbesta Farisî li ser wî hebû.",3,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.97,approved,,Cureyên berhemê bi çavkaniyê re hatin berhevkirin.
es_20260801_0007,Edebiyat,ku-kmr,Faqiyê Teyran di dîroka helbesta Kurdî de bi kîjan nûbûna formê tê girêdan?,Wî yekem car forma mesnewiyê ji bo helbestên çîrokî bikar anî,Wî yekem romana Kurdî nivîsî,Wî kovara Hawarê li Şamê damezrand,Wî pîvana deh-hejmarî ji helbesta Goranî re danî,A,Wî yekem car forma mesnewiyê ji bo helbestên çîrokî bikar anî,Gotar Faqiyê Teyran wekî yekem helbestvanê Kurdî yê naskirî dide nasîn ku forma mesnewiyê ji bo helbestên çîrokî bikar aniye.,4,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Rastiya edebî bi awayekî zelal tê pirsîn.
es_20260801_0008,Edebiyat,ku-kmr,Kîjan berhem di nav berhemên ku ji Faqiyê Teyran re tên dayîn de ye?,Hekayeta Şêxê Senan,Mem û Zîn,Berbang,Jani gel,A,Hekayeta Şêxê Senan,Hekayeta Şêxê Senan di nav berhemên mayî yên ku ji Faqiyê Teyran re tên dayîn de tê nivîsandin.,3,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.97,approved,,Navên berheman bi çavkaniyê re hatin kontrolkirin.
es_20260801_0009,Edebiyat,ku-kmr,Di derbarê Elî Herîrî de kîjan agahî li gorî gotarê rast e?,Agahiyên li ser jiyana wî kêm in û hin helbest bi awayekî pêkan ji wî re tên dayîn,Wî yekem romana Soranî nivîsî,Wî kovara Hawarê nivîsî û çap kir,Wî dibistana Goranî li Silemaniyê damezrand,A,Agahiyên li ser jiyana wî kêm in û hin helbest bi awayekî pêkan ji wî re tên dayîn,Gotar dibêje ku li ser Elî Herîrî pir hindik tê zanîn û hin helbest bi awayekî pêkan ji wî re hatine nisbetkirin.,4,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Nûansên çavkaniyê parastin.
es_20260801_0010,Edebiyat,ku-kmr,Mem û Zîn ya Ehmedê Xanî di gotarê de çawa tê şirovekirin?,Wekî destaneke evînî ya dirêj li ser evîna ne gengaz a du malbatên payebilind,Wekî kovareke siyasî ya li Şamê,Wekî pirtûka rêzimana Kurdî,Wekî çîrokeke tenê li ser bazirganiyê,A,Wekî destaneke evînî ya dirêj li ser evîna ne gengaz a du malbatên payebilind,Gotar Mem û Zîn wekî destaneke evînî ya dirêj û çîroka evîna ne gengaz a du kesên ji malbatên payebilind nîşan dide.,2,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Naveroka berhemê bi çavkaniyê re hevaheng e.
es_20260801_0011,Edebiyat,ku-kmr,Kîjan du berhemên din ji Ehmedê Xanî re tên dayîn?,Nûbehara Pêçûkan û Eqîdeya Îmanê,Berbang û Jani gel,Kordistan û Hawar,Hekayeta Şêxê Senan û Zambilfroş,A,Nûbehara Pêçûkan û Eqîdeya Îmanê,"Ji bilî Mem û Zîn, gotar Nûbehara Pêçûkan û berhema olî Eqîdeya Îmanê jî ji Ehmedê Xanî re dide nasîn.",3,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Her du berhem di çavkaniyê de hene.
es_20260801_0012,Edebiyat,ku-kmr,Melayê Bateyî bi kîjan cureya berhemê tê naskirin?,Bi nivîsandina mewlûdekê li ser jidayikbûna Pêxemberê Mihemed,Bi damezrandina dibistana Nalî,Bi nivîsandina romana Jani gel,Bi pêşxistina kovara Riya taze,A,Bi nivîsandina mewlûdekê li ser jidayikbûna Pêxemberê Mihemed,"Gotar dibêje ku Melayê Bateyî mewlûdek, ango helbestek li ser jidayikbûna Pêxemberê Mihemed, nivîsandiye.",2,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Term û wateya wê li gorî çavkaniyê ne.
es_20260801_0013,Edebiyat,ku-kmr,Di helbesta Goranî de kîjan taybetmendiya pîvanê tê destnîşankirin?,Pîvana deh-hejmarî û navberek di navbera du nîv-rêzên qafiyedar de,Tenê pîvana heşt-hejmarî bê qafiye,Pîvana sê-hejmarî bi stranên govendê re,Pîvana azad bêyî rêz û bê ziman,A,Pîvana deh-hejmarî û navberek di navbera du nîv-rêzên qafiyedar de,Gotar helbesta Goranî bi pîvana deh-hejmarî û navberek di navbera du nîv-rêzên qafiyedar de şirove dike.,4,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Pîvan û avahiya helbestê piştrast in.
es_20260801_0014,Edebiyat,ku-kmr,Kîjan helbestvan wekî damezrîner û nûnerê yekem ê dibistana Goranî tê naskirin?,Yûsif Yaska,Nalî,Cegerxwîn,Hecî Qadirî Koyî,A,Yûsif Yaska,"Li gorî gotarê, Yûsif Yaska damezrîner û nûnerê yekem ê dibistana Goranî bû û xezel nivîsand.",3,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Nav û rol bi çavkaniyê re kontrol kirin.
es_20260801_0015,Edebiyat,ku-kmr,Navenda dibistana helbesta Soranî ya Nalî li kîjan bajarî bû?,Silêmanî,Diyarbekir,Qahîreyê,Erevan,A,Silêmanî,Gotar dibêje ku dibistana helbesta Soranî ya Nalî navenda xwe li Silêmaniyê hebû.,2,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Cihê navendê rasterast tê piştrastkirin.
es_20260801_0016,Edebiyat,ku-kmr,Nalî bi kîjan cureya helbestê zêdetir tê naskirin?,Bi helbesta lîrîk,Bi romana dîrokî,Bi mewlûda olî,Bi nivîsa rêzimanî,A,Bi helbesta lîrîk,"Her çend Nalî formên qesîde û xezelê bikar anîbe jî, gotar wî bi taybetî bi helbesta lîrîk re nas dike.",3,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.97,approved,,Cureya helbestê bi çavkaniyê re hevaheng e.
es_20260801_0017,Edebiyat,ku-kmr,Şêx Reza Talebanî di helbesta Kurdî de bi kîjan taybetmendiyê tê girêdan?,Bi danasîna satîrê,Bi damezrandina çapxaneya yekem,Bi nivîsandina Mem û Zîn,Bi pêşxistina kovara Sirwe,A,Bi danasîna satîrê,"Li gorî gotarê, Şêx Reza Talebanî satîrê di helbesta Kurdî de pêşkêş kir û di berhemên wî de hêmanên otobiyografîk jî hene.",3,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Taybetmendiya bingehîn û nûans hatin parastin.
es_20260801_0018,Edebiyat,ku-kmr,Helbesta Hecî Qadirî Koyî di gotarê de bi kîjan taybetmendiyê tê naskirin?,Bi zimanekî hêsan û bala xwe dayîna ser mijarên civakî,Bi tenê nivîsandina helbestên tesewifî,Bi danasîna drama û şanoyê,Bi nivîsandina pirtûkên rêzimanê,A,Bi zimanekî hêsan û bala xwe dayîna ser mijarên civakî,Gotar dibêje ku zimanê qesîdeyên Hecî Qadirî Koyî hêsan bû û berhemên wî bala xwe didan ser mijarên civakî.,4,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Mijara berhemê bi çavkaniyê re li hev e.
es_20260801_0019,Edebiyat,ku-kmr,"Kordistan, wekî yekem rojnameya Kurdî ya ku di gotarê de tê behskirin, di sala 1898an de li kîjan bajarî hate çapkirin?",Qahîreyê,Şamê,Silêmaniyê,Parîsê,A,Qahîreyê,"Li gorî gotarê, yekem rojnameya Kurdî Kordistan di sala 1898an de li Qahîreyê hate çapkirin.",2,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Dîrok û cih rasterast ji çavkaniyê ne.
es_20260801_0020,Edebiyat,ku-kmr,Kovara Hawarê di kîjan dem û li kîjan bajarî derket?,"Li Şamê, di navbera 1935 û 1943an de","Li Qahîreyê, di navbera 1898 û 1902an de","Li Parîsê, di navbera 1983 û 1987an de","Li Silêmaniyê, di navbera 1919 û 1920an de",A,"Li Şamê, di navbera 1935 û 1943an de",Gotar Hawarê wekî kovareke li Şamê di navbera 1935 û 1943an de derketî dide nasîn.,2,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Dîrok û cih piştrast kirin.
es_20260801_0021,Edebiyat,ku-kmr,Dastana Hawarê di pêşxistina nivîsa Kormancî de bi çi awayî bandor kir?,"Bi pêşxistina rastnivîsa bi alfabeya latînî, ku îro jî tê bikaranîn",Bi guhertina zimanê Kormancî bo zimanê Erebî,Bi avakirina yekem zanîngeha Kurdî,Bi nivîsandina hemû berheman bi zimanê Soranî,A,"Bi pêşxistina rastnivîsa bi alfabeya latînî, ku îro jî tê bikaranîn","Li gorî gotarê, Birayên Bedirxan rastnivîsa Kurdî ya bi alfabeya latînî pêş xistin û ev rastnivîs îro jî tê bikaranîn.",4,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Bandora Hawarê bi çavkaniyê re tê piştrastkirin.
es_20260801_0022,Edebiyat,ku-kmr,Kîjan helbestvan di nav dibistana Hawarê de tê hilbijartin?,Cegerxwîn,Nalî,Yûsif Yaska,Şêx Reza Talebanî,A,Cegerxwîn,"Gotar Cegerxwîn, bi navê xwe yê Şêxmûs Hesen, wekî yek ji helbestvanên dibistana Hawarê dide nasîn.",3,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Navê kesayetiyê û rola wî piştrast in.
es_20260801_0023,Edebiyat,ku-kmr,"Berhema Erebê Şemo ya ku di sala 1935an de hate çapkirin, bi kîjan taybetmendiyê hate nasîn?",Romana ku li ser jiyana xwe bû û zû populer bû,Kovareke siyasî ya li Beyrûtê,Mewlûdek li ser jidayikbûna Pêxember,Rêbernameya rêzimanê ya ji bo dibistanan,A,Romana ku li ser jiyana xwe bû û zû populer bû,Gotar dibêje ku Erebê Şemo di sala 1935an de romaneke li ser jiyana xwe çap kir ku zû populer bû; berfirehkirina wê di sala 1958an de bi navê Berbang derket.,4,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Dîrok û naveroka berhemê li gorî çavkaniyê ne.
es_20260801_0024,Edebiyat,ku-kmr,"Jani gel, ku di gotarê de wekî yekem romana Soranî tê binavkirin, di sala 1973an de kê nivîsandiye?",Îbrahîm Ehmed,Mehmed Uzun,Cegerxwîn,Mûsa Entêr,A,Îbrahîm Ehmed,"Li gorî gotarê, Jani gel yekem romana Soranî ye û di sala 1973an de Îbrahîm Ehmed nivîsandiye.",3,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Navê nivîskar û berhem hatin kontrolkirin.
es_20260801_0025,Edebiyat,ku-kmr,"Di sala 1970an de, Kurdî li Iraqê wekî kîjan statuyê hate nasîn?",Wekî zimanê fermî yê duyem,Wekî zimanê tenê yê dadgehê,Wekî zimanê ku tenê di malê de tê axaftin,Wekî zimanê ku li Iraqê hat qedexekirin,A,Wekî zimanê fermî yê duyem,Gotar dibêje ku di sala 1970an de Kurdî wekî zimanê fermî yê duyem ê Iraqê hate nasîn.,2,https://www.iranicaonline.org/articles/kurdish-written-literature/,verified,0.98,approved,,Statûya zimanê ji çavkaniyê ye.
