candidate_id,source,license,source_category,difficulty,prompt_en,option_a_en,option_b_en,option_c_en,option_d_en,correct_option,translation_status,editorial_status
opentdb_0120,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,Greenland is a part of which kingdom?,Denmark,Sweden,Norway,United Kingdom,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0121,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,All of the following are towns/villages in the Pacific Island nation of Kiribati EXCEPT:,Urutora,Rungata,London,Washington,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0122,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Which is the smallest country in the world?,Vatican City,Lesotho,Monaco City,Titania,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0123,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,What continent is the country Lesotho in?,Africa,Asia,South America,Europe,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0124,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,"Vatican City, the smallest country in the world, is fully enclosed by which country?",Italy,France,Spain,Germany,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0125,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,How many countries border Kyrgyzstan?,4,3,1,6,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0126,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Which is the largest city in Morocco?,Casablanca,Rabat,Fes,Sale,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0127,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Which one of these archipelagos are NOT a part of the United Kingdom?,The Channel Islands ,Orkney Islands,Isles of Scilly,Shetland Islands ,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0128,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Which of the following countries does NOT recognize Armenia as an independent country?,Pakistan,Iran,Turkey,Azerbaijan,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0129,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,Which country was NOT part of the Soviet Union?,Romania,Turkmenistan,Belarus,Tajikistan,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0130,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Where are the Nazca Lines located?,Peru,Brazil,Colombia,Ecuador,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0131,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Which of the following countries is an island?,Cyprus,Azerbaijan,El Salvador,Djibouti,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0132,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,In which country is located the municipality of Arteijo?,Spain,Morocco,France,Belgium,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0133,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,The Alps are a mountain range on which continent?,Europe,North America,Asia,Africa,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0134,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,The Space Needle is located in which city?,Seattle,Los Angles,Toronto,Vancouver,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0135,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,What is the largest non-continental island in the world?,Greenland,New Guinea,Borneo,Madagascar,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0136,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,The land mass of modern day Turkey is called what?,Anatolia,Ismuth of Ottoma,Ottoma,Ismuth of Anatolia,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0137,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Where is the Volga River?,Russia,Bulgaria,India,Sweden,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0138,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,What is the most populous Muslim-majority nation in 2010?,Indonesia,Saudi Arabia,Iran,Sudan,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0139,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Lake Titicaca is located between which two nations?,Peru and Bolivia,Kenya and Uganda,Mexico and the United States,India and Bangladesh,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0140,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,Which country has three capital cities?,South Africa,Somalia,China,United Kingdom,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0141,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,What city is the Terracotta Army located in?,Xi'an,Beijing,Shanghai,Hong Kong,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0142,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,How many stations does the Central Line have on the London Underground?,49,51,43,47,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0143,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,What is the name of the capital of Turkey?,Ankara,Istanbul,Izmir,Bursa,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0144,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,Which of these countries is NOT a part of the Asian continent?,Suriname,Georgia,Russia,Singapore,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0145,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,What is the official German name of the Swiss Federal Railways?,Schweizerische Bundesbahnen,Schweizerische Nationalbahnen,Bundesbahnen der Schweiz,Schweizerische Staatsbahnen,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0146,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,How many islands does Kuwait have?,9,3,6,2,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0147,Open Trivia Database API,CC BY-SA 4.0,Geography,easy,Which country is the home of the largest Japanese population outside of Japan?,Brazil,China,Russia,The United States,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0148,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,What is the name of the Canadian national anthem?,O Canada,O Red Maple,Leaf-Spangled Banner,March of the Puck Drop,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0149,Open Trivia Database API,CC BY-SA 4.0,Geography,medium,The Principality of Sealand is an unrecognized micronation off the coast of what country?,The United Kingdom,Japan,Austrailia,Argentina,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0150,Open Trivia Database API,CC BY-SA 4.0,Geography,hard,In what part of Wales will you find the village Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch?,Anglesey,Pembrokeshire,Wrexham,Bridgend,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0151,Open Trivia Database API,CC BY-SA 4.0,History,medium,"Who led France during the ""Reign of Terror"" ?",Maximilien Robespierre,Napoleon Bonaparte,Jean-Paul Marat,Louis XVI,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0152,Open Trivia Database API,CC BY-SA 4.0,History,easy,When did the Battle of the Somme begin?,"July 1st, 1916","August 1st, 1916","July 2nd, 1916","June 30th, 1916",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0153,Open Trivia Database API,CC BY-SA 4.0,History,medium,The gunpowder plot was a well-known failed assassination attempt against which of England's then reigning monarchs?,James I,Elizabeth I,Charles II,Charles I,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0154,Open Trivia Database API,CC BY-SA 4.0,History,hard,When was the Gregorian Calendar first adopted?,1582,1623,1501,1555,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0155,Open Trivia Database API,CC BY-SA 4.0,History,hard,The pantheon in Rome was used to worship what god?,Any god they wanted,Athena,Zeus,Both Athena and Zeus,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0156,Open Trivia Database API,CC BY-SA 4.0,History,hard,The Second Boer War in 1899 was fought where?,South Africa,Argentina,Nepal,Bulgaria,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0157,Open Trivia Database API,CC BY-SA 4.0,History,easy,What was Manfred von Richthofen's nickname?,The Red Baron,The High Flying Ace,The Blue Serpent ,The Germany Gunner,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0158,Open Trivia Database API,CC BY-SA 4.0,History,medium,When did the Battle of the Bulge end?,"January 25, 1945","August 6, 1945","December 7, 1941","December 16, 1944",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0159,Open Trivia Database API,CC BY-SA 4.0,History,medium,"In 1845, a series of wars named after which indigenous people began in New Zealand?",Māori,Papuans,Aborigines,Polynesians,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0160,Open Trivia Database API,CC BY-SA 4.0,History,medium,Which of these countries was NOT a part of the Soviet Union?,Afghanistan,Turkmenistan,Kazakhstan,Uzbekistan,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0161,Open Trivia Database API,CC BY-SA 4.0,History,easy,Which German field marshal was known as the `Desert Fox`?,Erwin Rommel,Ernst Busch,Wolfram Freiherr von Richthofen,Wilhelm List,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0162,Open Trivia Database API,CC BY-SA 4.0,History,medium,When was the Grand Patriotic War in the USSR concluded?,"May 9th, 1945","September 2nd, 1945","August 9th, 1945","December 11th, 1945",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0163,Open Trivia Database API,CC BY-SA 4.0,History,hard,"When was the ""Siege of Leningrad"" lifted during World War II?",January 1944,September 1943,November 1943,March 1944,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0164,Open Trivia Database API,CC BY-SA 4.0,History,medium,"According to scholarly estimates, what percentage of the world population at the time died due to Tamerlane's conquests?",5%,1%,3%,<1%,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0165,Open Trivia Database API,CC BY-SA 4.0,History,medium,Which of the following battles is often considered as marking the beginning of the fall of the Western Roman Empire?,Battle of Adrianople,Battle of Thessalonica,Battle of Pollentia,Battle of Constantinople,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0166,Open Trivia Database API,CC BY-SA 4.0,History,hard,"During World War I, which nation's monarchs were blood related?","England, Germany, Russia","France, Russia, Germany","Serbia, Russia, Croatia","Germany, Spain, Austria",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0167,Open Trivia Database API,CC BY-SA 4.0,History,medium,Which of the following countries was the first to send an object into space?,Germany,USA,Russia,China,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0168,Open Trivia Database API,CC BY-SA 4.0,History,easy,Which of these landmarks is not included in the original 'Seven Wonders of the Ancient World'?,Great Wall of China,Great Pyramid of Giza,Colossus of Rhodes,Hanging Gardens of Babylon,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0169,Open Trivia Database API,CC BY-SA 4.0,History,medium,"After his loss at the Battle of Waterloo, Napoleon Bonaparte was exiled to which island?",St. Helena,Elba,Corsica,Canary,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0170,Open Trivia Database API,CC BY-SA 4.0,History,easy,"The RMS Titanic sunk during her maiden voyage from Southampton, England to which American city?",New York City,Boston ,Philadelphia,Washington,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0171,Open Trivia Database API,CC BY-SA 4.0,History,medium,"In the War of the Pacific (1879 - 1883), Bolivia lost its access to the Pacific Ocean after being defeated by which South American country?",Chile,Peru,Brazil,Argentina,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0172,Open Trivia Database API,CC BY-SA 4.0,History,medium,In what year was the last natural case of smallpox documented?,1977,1982,1980,1990,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0173,Open Trivia Database API,CC BY-SA 4.0,History,hard,When was Adolf Hitler appointed as Chancellor of Germany?,"January 30, 1933","September 1, 1939","February 27, 1933","October 6, 1939",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0174,Open Trivia Database API,CC BY-SA 4.0,History,easy,What was William Frederick Cody better known as?,Buffalo Bill,Billy the Kid,Wild Bill Hickok,Pawnee Bill,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0175,Open Trivia Database API,CC BY-SA 4.0,History,hard,What was the last colony the UK ceded marking the end of the British Empire?,Hong Kong,India,Australia,Ireland,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0176,Open Trivia Database API,CC BY-SA 4.0,History,medium,"What was the transfer of disease, crops, and people across the Atlantic shortly after the discovery of the Americas called?",The Columbian Exchange,Triangle Trade,Transatlantic Slave Trade,The Silk Road,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0177,Open Trivia Database API,CC BY-SA 4.0,History,easy,What is the historical name of Sri Lanka?,Ceylon,Myanmar,Colombo,Badulla,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0178,Open Trivia Database API,CC BY-SA 4.0,History,medium,The minigun was designed in 1960 by which manufacturer.,General Electric,Colt Firearms,Heckler & Koch,Sig Sauer,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0179,Open Trivia Database API,CC BY-SA 4.0,History,medium,Who is attributed credit for recording the epic poem The Odyssey?,Homer,Aristotle,Odysseus,Socrates,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0180,Open Trivia Database API,CC BY-SA 4.0,History,medium,How many times was Albert Einstein married in his lifetime?,Twice,Five,Thrice,Once,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0181,Open Trivia Database API,CC BY-SA 4.0,History,medium,Under which name was Rodrigo Borgia made Pope?,Alexander VI,Rodrigo I,John Paul II,Pius VII,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0182,Open Trivia Database API,CC BY-SA 4.0,History,hard,"In the Seven Wonders of the World, which wonder is the only that has survived to this day?",Great Pyramid of Giza,Colossus of Rhodes,Lighthouse of Alexandria,Statue of Zeus at Olympia,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0183,Open Trivia Database API,CC BY-SA 4.0,History,medium,"What year did Skoal, a smokeless Tobacco company, release their first line of Pouches, known as ""Skoal Bandits""?",1983,1934,1984,1822,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0184,Open Trivia Database API,CC BY-SA 4.0,History,medium,What was the bloodiest single-day battle during the American Civil War?,The Battle of Antietam,The Siege of Vicksburg,The Battle of Gettysburg,The Battles of Chancellorsville,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0185,Open Trivia Database API,CC BY-SA 4.0,History,hard,Who assassinated President James A. Garfield?,Charles Guiteau,Sirhan Sirhan,Leon Czolgosz,John Wilkes Booth,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0186,Open Trivia Database API,CC BY-SA 4.0,History,medium,Which country gifted the Statue of Liberty to the United States of America?,France,Spain,England,Germany,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0187,Open Trivia Database API,CC BY-SA 4.0,History,hard,What was the name of the spy ring that helped the United States win the Revolutionary War?,Culper Ring,New York Spy Ring,Washington's Spies,Unnamed,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0188,Open Trivia Database API,CC BY-SA 4.0,History,medium,What is the name of the famous Apache leader who died in 1909 at the age of 70?,Geronimo,Sitting Bull,Red Cloud,Crazy Horse,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0189,Open Trivia Database API,CC BY-SA 4.0,History,hard,The Battle of Hastings was fought in which year?,1066,911,1204,1420,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0190,Open Trivia Database API,CC BY-SA 4.0,History,hard,"What was the aim of the ""Umbrella Revolution"" in Hong Kong in 2014?",Genuine universal suffrage,Gaining Independence,Go back under British Rule,Lower taxes,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0191,Open Trivia Database API,CC BY-SA 4.0,History,easy,Which of the following African countries was most successful in resisting colonization?,Ethiopia,Côte d’Ivoire,Congo,Namibia,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0192,Open Trivia Database API,CC BY-SA 4.0,History,medium,Who assassinated Archduke Franz Ferdinand?,Gavrilo Princip,Nedeljko Čabrinović,Oskar Potiorek,Ferdinand Cohen-Blind,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0193,Open Trivia Database API,CC BY-SA 4.0,History,medium,Which Louis was known as 'The Sun King of France'?,Louis XIV,Louis XIII,Louis XV,Louis XVI,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0194,Open Trivia Database API,CC BY-SA 4.0,History,medium,When did Norway get its constitution?,1814,1932,1905,1854,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0195,Open Trivia Database API,CC BY-SA 4.0,History,hard,The ancient city of Chichén Itzá was built by which civilization?,Mayans,Aztecs,Incas,Toltecs,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0196,Open Trivia Database API,CC BY-SA 4.0,History,medium,The creator of the Enigma Cypher and Machine was of what nationality?,German,American,British,Polish,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0197,Open Trivia Database API,CC BY-SA 4.0,History,easy,Which country was Josef Stalin born in?,Georgia,Russia,Germany,Poland,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0198,Open Trivia Database API,CC BY-SA 4.0,History,medium,What event marked the start of World War II?,Invasion of Poland (1939),Invasion of Russia (1942),Battle of Britain (1940),Invasion of Normandy (1944),A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0199,Open Trivia Database API,CC BY-SA 4.0,History,medium,The Spitfire L.F. Mk IX had what engine?,Merlin 66,Griffon 65,Merlin 50,Merlin X,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0200,Open Trivia Database API,CC BY-SA 4.0,History,medium,"When did O, Canada officially become the national anthem?",1980,1950,1920,1880,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0201,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,Who was the only president to not be in office in Washington D.C?,George Washington,Abraham Lincoln,Richard Nixon,Thomas Jefferson,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0202,Open Trivia Database API,CC BY-SA 4.0,Politics,easy,The largest consumer market in 2015 was...,The United States of America,Germany,Japan,United Kingdom,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0203,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,The Watergate Scandal occured in what year?,1972,1973,1974,1971,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0204,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,Who was the British Prime Minister at the outbreak of the Second World War?,Neville Chamberlain,Clement Attlee,Winston Churchill,Stanley Baldwin,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0205,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,Which US state was the first to allow women to vote in 1869?,Wyoming,California,Delaware,Virginia,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0206,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,Which nation joined NATO as its 29th member in 2017?,Montenegro,Estonia,Andorra,Iceland,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0207,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,"Starting from 2000, China banned manufacturing and sales of all video game consoles. On which year was this ban lifted?",2015,2012,2008,2017,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0208,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,"What was the personal nickname of the 40th Governor of the US State Louisiana, Huey Long?",The Kingfish,The Champ,The Hoot Owl,The Oracle,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0209,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,What is the name of Niccolò Machiavelli's work that argued effective leaders needed to crush their opponents at all costs?,The Prince,The Rape of Lucrece,Will to Power,Love's Labours Lost,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0210,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,Which U.S. president is said to have had the longest beard?,Rutherford B. Hayes,Zachary Taylor,John Quincy Adams,James A. Garfield,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0211,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,What year did the effort to deploy the Common Core State Standards (CCSS) in the US begin?,2009,2012,2006,1997,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0212,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,Which United Nations principal organ has been suspended since 1994?,Trusteeship Council,Secretariat,General Assembly,Economic and Social Council,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0213,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,Who succeeded Joseph Stalin as General Secretary of the Communist Party of the Soviet Union?,Nikita Khrushchev,Leonid Brezhnev,Mikhail Gorbachev,Boris Yeltsin,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0214,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,"Before 2016, in which other year did Donald Trump run for President?",2000,2012,1988,2008,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0215,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,What year did Gerald Ford Become President?,1974,1977,1973,1969,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0216,Open Trivia Database API,CC BY-SA 4.0,Politics,easy,Which of the following Pacific Islander countries is ruled by a constitutional monarchy?,Tonga,Palau,Fiji,Kiribati,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0217,Open Trivia Database API,CC BY-SA 4.0,Politics,easy,"According to the United States Constitution, how old must a person be to be elected President of the United States?",35,30,40,45,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0218,Open Trivia Database API,CC BY-SA 4.0,Politics,easy,Who was South Africa's first Black President?,Nelson Mandela,Mangosuthu Buthelezi,Steve Biko ,Bishop Tutu,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0219,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,Who became Prime Minister of the United Kingdom in July 2016?,Theresa May,Boris Johnson,David Cameron,Tony Blair,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0220,Open Trivia Database API,CC BY-SA 4.0,Politics,easy,What candidate won the 2012 US Presidential Election?,Barack Obama,Mitt Romney,Bob Hope,Ross Perot,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0221,Open Trivia Database API,CC BY-SA 4.0,Politics,easy,"Which former US president was nicknamed ""Teddy"" after he refused to shoot a defenseless black bear?",Theodore Roosevelt,Woodrow Wilson,James F. Fielder,Andrew Jackson,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0222,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,Who was elected leader of the UK Labour Party in September 2015?,Jeremy Corbyn,Ed Miliband,David Cameron,Theresa May,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0223,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,Which major bank's collapse was notable as one of the causes of the Financal Crisis of 2008?,Lehman Brothers,HSBC,Barclays,Lloyds,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0224,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,Who is the only US president to serve two non-consecutive terms in office?,Grover Cleveland,James K. Polk,Franklin D. Roosevelt,Thomas Jefferson,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0225,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,What is centralism?, Concentration of power and authority in a central organization.,Conforming to one single common political agenda.,Remaining politically neutral.,The grey area in the spectrum of political left and right.,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0226,Open Trivia Database API,CC BY-SA 4.0,Politics,easy,How many people are in the U.S. House of Representatives?,435,260,415,50,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0227,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,What is the primary purpose of the Fourth Amendment to the US Constitution?,Preventing unreasonable searches and seizures,Preventing cruel and unusual punishments,Protecting against imprisonment without due process of law,Protecting the right to keep and bear arms,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0228,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,"Due to the Nagoya Resolution, China agreed to allow Taiwan to compete separately in international sporting events under what name?",Chinese Taipei,Chinese Taiwan,Republic of Taiwan,Republic of Taipei ,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0229,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,Which of these is NOT one of Donald Trump's children?,Julius,Donald Jr.,Ivanka,Eric,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0230,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,Which of the following United States Presidents served the shortest term in office?,William Henry Harrison,Zachary Taylor,James A. Garfield,Warren G. Harding,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0231,Open Trivia Database API,CC BY-SA 4.0,Politics,easy,"Whose 2016 presidential campaign slogan was ""Make America Great Again""?",Donald Trump,Ted Cruz,Marco Rubio,Bernie Sanders,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0232,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,Which letter do you need to have on a European driver license in order to ride any motorbikes?,A,X,D,B,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0233,Open Trivia Database API,CC BY-SA 4.0,Politics,hard,"Who was the longest-serving senator in US history, serving from 1959 to 2010?",Robert Byrd,Daniel Inouye,Strom Thurmond,Joe Biden,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0234,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,"Between 1973 to 1990, what country was ruled by dictator Augusto Pinochet?",Chile,Ethiopia,Indonesia,Nicaragua,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0235,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,Which city is the seat of government of the Netherlands?,The Hague,Amsterdam,Utrecht,Rotterdam,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_0236,Open Trivia Database API,CC BY-SA 4.0,Politics,medium,Who was the 40th President of the USA?,Ronald Reagan,Jimmy Carter,Bill Clinton,Richard Nixon,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
