id,category,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,is_approved,question_type,image_url,source_url
offline_6740,Çand,ku-kmr,'govend' kavramı çand açısından neyi ifade eder?,toplu halk oyunu,Baharatlı pirinç,govend aksesuarı,düğün ve kutlama,A,'govend' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6741,Çand,ku-kmr,Geleneksel çand birikiminde 'kıl çadır' kavramının izlerine rastlanır.,Rast,Şaş,-,-,A,'kıl çadır' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,true_false,,zankurd_seed_rich_v2
offline_6742,Çand,ku-kmr,'hewran' denildiğinde çand açısından ne anlaşılmalıdır?,destansı Kürt halk anlatısı,Topluluk ve aile bağlarını,geleneksel kıl çadır yapımı,cilûbergê kevneşopî yê mêran,C,'hewran' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,multiple_choice,,zankurd_seed_rich_v2
offline_6743,Çand,ku-kmr,'hewran' kavramı çand açısından neyi ifade eder?,keça û kurê apê (kuzenler),sac üzerinde pişirilen ekmek,geleneksel kıl çadır yapımı,el sanatı ile ilişkilidir,C,'hewran' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6744,Çand,ku-kmr,'Çand' çalışmalarında 'ağıt' kavramı hangi konuyu aydınlatır?,duygu ve toplumsal hafıza,Etnik ve dilsel topluluk,lehengên destaneke evînê,Masal/hikâye anlatan kişi,A,'ağıt' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6745,Çand,ku-kmr,'şabaş' teriminin çand bağlamındaki karşılığı nedir?,Dinî ilahi/sözlü kutsal metinler,müzisyenlere bahşiş atma geleneği,göçebe Kürt aşiretlerinin barınağı,geleneksel Kürt saç örgüsü modeli,B,'şabaş' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6746,Çand,ku-kmr,'Çand' çalışmalarında 'bayramlaşma' kavramı hangi konuyu aydınlatır?,geleneksel kaval benzeri çalgı,toplumsal bağları güçlendirme,sözlü gelenek ile ilişkilidir,sac üzerinde pişirilen ekmek,B,'bayramlaşma' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6747,Çand,ku-kmr,Aşağıdakilerden hangisi 'reşmal' teriminin doğru tanımıdır?,siyah keçi kılından yapılan çadır,kuşaktan kuşağa aktarılan anlatı,kültürel sembol ve renk hafızası,koç katımı ve hayvancılık şenliği,A,'reşmal' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,multiple_choice,,zankurd_seed_rich_v2
offline_6748,Çand,ku-kmr,'Şal û şapik' kavramı Çand alanıyla doğrudan ilişkilidir.,Rast,Şaş,-,-,A,'şal û şapik' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,true_false,,zankurd_seed_rich_v2
offline_6749,Çand,ku-kmr,'Çand' çalışmalarında 'kew' kavramı hangi konuyu aydınlatır?,"Renkli, katmanlı uzun elbiseler (kras)",kınalı keklik ve doğa sevgisi sembolü,Kürt halk müziğinde ağıt benzeri ezgi,Halkın direnişini ve özgürlük umudunu,B,'kew' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6750,Çand,ku-kmr,Aşağıdakilerden hangisi 'sînan' ile doğrudan bağlantılıdır?,Yoldaşlık ve dayanışma,kilamên evînê yên gelêrî,"Kırmızı, yeşil ve sarı",geleneksel taş işçiliği,D,'sînan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,multiple_choice,,zankurd_seed_rich_v2
offline_6751,Çand,ku-kmr,Aşağıdakilerden hangisi 'misafirperverlik' kavramının modern bağlamda kullanımıdır?,Sebze yemeği/yahni,düğün ve kutlama,toplumsal dayanışma,Yoldaşlık ve dayanışma,C,'misafirperverlik' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,multiple_choice,,zankurd_seed_rich_v2
offline_6752,Çand,ku-kmr,'Govend' kavramının çand ile hiçbir bağı bulunmamaktadır.,Rast,Şaş,-,-,B,'govend' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,true_false,,zankurd_seed_rich_v2
offline_6753,Çand,ku-kmr,Kürdistan/Kürt çalışmaları çerçevesinde 'bêrîvan' ne şekilde yorumlanır?,tandırda pişirilen geleneksel ekmek,"Bahar, yenilenme ve özgürlük/direniş",hunermendê ku kilaman ji ber dibêje,koyun sağan kadınların kültürel rolü,D,'bêrîvan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6754,Çand,ku-kmr,Kürdistan/Kürt çalışmaları çerçevesinde 'kıl çadır' ne şekilde yorumlanır?,Geleneksel toplumsal-dinî rolleri,geleneksel çobanlık ve doğa bilgisi,göçebe Kürt aşiretlerinin barınağı,geleneksel Kürt yeleği veya giysisi,C,'kıl çadır' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6755,Çand,ku-kmr,'kelaş' kavramı çand açısından neyi ifade eder?,el yapımı geleneksel Kürt ayakkabısı,koyun sağan kadınların kültürel rolü,kınalı keklik ve doğa sevgisi sembolü,"Bahar, yenilenme ve özgürlük/direniş",A,'kelaş' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6756,Çand,ku-kmr,'zembîlfiroş' teriminin çand bağlamındaki karşılığı nedir?,Masal/hikâye anlatan kişi,meşhur Kürt halk hikayesi,Dinî önder/yol gösterici,Dinî-toplumsal sınıfları,B,'zembîlfiroş' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6757,Çand,ku-kmr,'Çand' alanı yalnızca 'xana zêrîn' dışındaki konuları inceler.,Rast,Şaş,-,-,B,'xana zêrîn' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,true_false,,zankurd_seed_rich_v2
offline_6758,Çand,ku-kmr,'Çand' bağlamında 'fistan' tamamen uydurma bir terimdir.,Rast,Şaş,-,-,B,'fistan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,true_false,,zankurd_seed_rich_v2
offline_6759,Çand,ku-kmr,'Hewran' kavramı Çand alanıyla doğrudan ilişkilidir.,Rast,Şaş,-,-,A,'hewran' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,true_false,,zankurd_seed_rich_v2
offline_6760,Çand,ku-kmr,Aşağıdakilerden hangisi 'şîlan' kavramının taşıdığı temel anlamlardan biridir?,koyun sağan kadınların kültürel rolü,Çîrok (masal) ve kilam/stran (ezgi),yabani gül ve bitkisel çay geleneği,Kültürel aidiyet ve coğrafi hafızayı,C,'şîlan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,multiple_choice,,zankurd_seed_rich_v2
offline_6761,Çand,ku-kmr,Kürdistan/Kürt çalışmaları çerçevesinde 'Newroz' ne şekilde yorumlanır?,el sanatı ile ilişkilidir,Doğanın canlanışı ve bereket,baharın gelişi ve yenilenme,Renkli geleneksel kıyafetler,C,'Newroz' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6762,Çand,ku-kmr,'Kıl çadır' kavramı Çand alanıyla doğrudan ilişkilidir.,Rast,Şaş,-,-,A,'kıl çadır' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,true_false,,zankurd_seed_rich_v2
offline_6763,Çand,ku-kmr,Aşağıdaki terimlerden hangisi 'hewran' ile yakın bir anlama sahiptir?,keça û kurê apê (kuzenler),geleneksel kıl çadır yapımı,destansı Kürt halk anlatısı,Halka biçiminde toplu dans,B,'hewran' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,multiple_choice,,zankurd_seed_rich_v2
offline_6764,Çand,ku-kmr,Çand bağlamında 'serzêr' en çok hangi alanla veya tanımla ilişkilidir?,hunermendê ku kilaman ji ber dibêje,yabani gül ve bitkisel çay geleneği,düğünlerde geline takılan altınlar,siyah keçi kılından yapılan çadır,C,'serzêr' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6765,Çand,ku-kmr,'Çand' bağlamında 'destmal' tamamen uydurma bir terimdir.,Rast,Şaş,-,-,B,'destmal' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,true_false,,zankurd_seed_rich_v2
offline_6766,Çand,ku-kmr,'misafirperverlik' teriminin çand bağlamındaki karşılığı nedir?,çîrokan vedibêje,Kına (hene) gecesi,toplumsal dayanışma,Sebze yemeği/yahni,C,'misafirperverlik' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6767,Çand,ku-kmr,'dew û av' hakkında verilen bilgilerden hangisi en doğrudur?,"Gündelik yaşam, motif ve yerel estetik bilgisini taşıdığı için",Resmi arşivlerde görünmeyen deneyimleri ve hafızayı kaydedebildiği için,'ayran ve su ikram etme kültürü' ile doğrudan ilişkilidir.,"Sosyal örgütlenme, güvenlik, üretim ve siyasal ilişki ağı",C,'dew û av' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,multiple_choice,,zankurd_seed_rich_v2
offline_6768,Çand,ku-kmr,'Şabaş' terimi modern çand literatüründe kullanılmaz.,Rast,Şaş,-,-,B,'şabaş' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,true_false,,zankurd_seed_rich_v2
offline_6769,Çand,ku-kmr,Çand bağlamında 'şahmaran' sadece teknik veya önemsiz bir detaydır.,Rast,Şaş,-,-,B,'şahmaran' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,true_false,,zankurd_seed_rich_v2
offline_6770,Çand,ku-kmr,'Çand' araştırmalarında 'bêrîvan' neyi açıklar?,geleneksel Kürt yeleği veya giysisi,hunermendê ku kilaman ji ber dibêje,koyun sağan kadınların kültürel rolü,el yapımı geleneksel Kürt ayakkabısı,C,'bêrîvan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6771,Çand,ku-kmr,'Sersal' kavramı tarihsel süreçte çand gelişimine katkı sağlamıştır.,Rast,Şaş,-,-,A,'sersal' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,true_false,,zankurd_seed_rich_v2
offline_6772,Çand,ku-kmr,Aşağıdakilerden hangisi 'kelaş' ile ilgili temel kavramlardan biridir?,Kürt halk müziğinde ağıt benzeri ezgi,geleneksel çobanlık ve doğa bilgisi,el yapımı geleneksel Kürt ayakkabısı,yabani gül ve bitkisel çay geleneği,C,'kelaş' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,multiple_choice,,zankurd_seed_rich_v2
offline_6773,Çand,ku-kmr,'Çand' çalışmalarında 'şîlan' kavramı hangi konuyu aydınlatır?,yabani gül ve bitkisel çay geleneği,Çîrok (masal) ve kilam/stran (ezgi),geleneksel Kürt yeleği veya giysisi,hunermendê ku kilaman ji ber dibêje,A,'şîlan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6774,Çand,ku-kmr,Kürdistan/Kürt çalışmaları çerçevesinde 'beranberdan' ne şekilde yorumlanır?,koç katımı ve hayvancılık şenliği,yiyecek taşımak için dokunan torba,kültürel sembol ve renk hafızası,yaşanmış ilginç olayların anlatımı,A,'beranberdan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6775,Çand,ku-kmr,'dew û av' kavramı hakkında yapılan araştırmalarda hangisi vurgulanır?,Sözlü/ezbere aktarılan anlatıya,sözlü anlatım ve ezgili hikaye,ayran ve su ikram etme kültürü,masallardaki altın saray motifi,C,'dew û av' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,multiple_choice,,zankurd_seed_rich_v2
offline_6776,Çand,ku-kmr,'Çand' araştırmalarında 'serpêhatî' neyi açıklar?,hunermendê ku kilaman ji ber dibêje,Geleneksel toplumsal-dinî rolleri,yaşanmış ilginç olayların anlatımı,geleneksel Kürt saç örgüsü modeli,C,'serpêhatî' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6777,Çand,ku-kmr,'Tûrik' kavramı tarihsel süreçte çand gelişimine katkı sağlamıştır.,Rast,Şaş,-,-,A,'tûrik' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,true_false,,zankurd_seed_rich_v2
offline_6778,Çand,ku-kmr,'Nanê tenûrê' kavramı Çand alanıyla doğrudan ilişkilidir.,Rast,Şaş,-,-,A,'nanê tenûrê' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,true_false,,zankurd_seed_rich_v2
offline_6779,Çand,ku-kmr,Geleneksel çand birikiminde 'şahmaran' kavramının izlerine rastlanır.,Rast,Şaş,-,-,A,'şahmaran' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,true_false,,zankurd_seed_rich_v2
offline_6780,Çand,ku-kmr,"'kilim motifleri' kavramı, toplumsal bilinç ve çand açısından neyi ifade eder?",göçer yaşam tarzı ve dans ritmi,kuşaktan kuşağa aktarılan anlatı,kültürel sembol ve renk hafızası,Mêvanperwerî (misafirperverlik),C,'kilim motifleri' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6781,Çand,ku-kmr,'Çand' çerçevesinde 'şahmaran' ne amaçla ele alınır?,doğu kültüründe mitolojik figür,hesinkarê ku li dijî zilmê rabû,Mêvanperwerî (misafirperverlik),kuşaktan kuşağa aktarılan anlatı,A,'şahmaran' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,multiple_choice,,zankurd_seed_rich_v2
offline_6782,Çand,ku-kmr,Kürdistan/Kürt çalışmaları çerçevesinde 'koçerî' ne şekilde yorumlanır?,göçer yaşam tarzı ve dans ritmi,Dinî ilahi/sözlü kutsal metinler,Işığa/güneşe verilen kutsallığı,masallardaki altın saray motifi,A,'koçerî' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6783,Çand,ku-kmr,"'Şal û şapik', çand araştırmalarında geçerli bir kavramdır.",Rast,Şaş,-,-,A,'şal û şapik' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,true_false,,zankurd_seed_rich_v2
offline_6784,Çand,ku-kmr,'halk mutfağı' teriminin çand bağlamındaki karşılığı nedir?,21 Adar ile ilişkilidir,gelenek ile ilişkilidir,yerel yaşam ve paylaşım,geleneksel taş işçiliği,C,'halk mutfağı' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6785,Çand,ku-kmr,Aşağıdaki terimlerden hangisi 'pêncşem' ile yakın bir anlama sahiptir?,üç ayaklı geleneksel halk dansı,Dinî ilahi/sözlü kutsal metinler,masallardaki altın saray motifi,geleneksel ziyaret ve anma günü,D,'pêncşem' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,multiple_choice,,zankurd_seed_rich_v2
offline_6786,Çand,ku-kmr,'Fistan' terimi modern çand literatüründe kullanılmaz.,Rast,Şaş,-,-,B,'fistan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,true_false,,zankurd_seed_rich_v2
offline_6787,Çand,ku-kmr,Aşağıdakilerden hangisi 'şal û şapik' ile doğrudan bağlantılıdır?,geleneksel erkek giyim takımı,Sırayla kilam/anlatı söylerdi,sözlü gelenek ile ilişkilidir,sözlü kültür ile ilişkilidir,A,'şal û şapik' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,multiple_choice,,zankurd_seed_rich_v2
offline_6788,Çand,ku-kmr,'yerel kıyafetler' kavramı çand açısından neyi ifade eder?,Sırayla kilam/anlatı söylerdi,"Sığınak, özgürlük ve direnişi",geleneksel erkek giyim takımı,kimlik ve bölgesel çeşitlilik,D,'yerel kıyafetler' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6789,Çand,ku-kmr,'Çand' alanında 'nanê sêlê' konusunun yeri nedir?,Doğanın canlanışı ve bereket,geleneksel yedi tahıllı çorba,sac üzerinde pişirilen ekmek,geleneksel kıl çadır yapımı,C,'nanê sêlê' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6790,Çand,ku-kmr,Aşağıdakilerden hangisi 'qutik' kavramının modern bağlamda kullanımıdır?,geleneksel Kürt yeleği veya giysisi,tandırda pişirilen geleneksel ekmek,göçebe Kürt aşiretlerinin barınağı,Kültürel aidiyet ve coğrafi hafızayı,A,'qutik' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,multiple_choice,,zankurd_seed_rich_v2
offline_6791,Çand,ku-kmr,Toplumsal yapı içinde 'tûtik' kavramının önemi nedir?,Sözlü/ezbere aktarılan anlatıya,toplumsal bağları güçlendirme,gündelik kültür ile ilişkilidir,geleneksel kaval benzeri çalgı,D,'tûtik' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6792,Çand,ku-kmr,Toplumsal yapı içinde 'nanê sêlê' kavramının önemi nedir?,geleneksel yedi tahıllı çorba,"Sığınak, özgürlük ve direnişi",sac üzerinde pişirilen ekmek,geleneksel kıl çadır yapımı,C,'nanê sêlê' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6793,Çand,ku-kmr,'Ağıt' teriminin çand alanı dışındaki bilimlerde kullanımı çok daha yaygındır.,Rast,Şaş,-,-,B,'ağıt' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,true_false,,zankurd_seed_rich_v2
offline_6794,Çand,ku-kmr,Gelişmiş çand teorilerinde 'nanê sêlê' kavramına sıkça başvurulur.,Rast,Şaş,-,-,A,'nanê sêlê' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,true_false,,zankurd_seed_rich_v2
offline_6795,Çand,ku-kmr,"'Nanê sêlê', çand araştırmalarında geçerli bir kavramdır.",Rast,Şaş,-,-,A,'nanê sêlê' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,true_false,,zankurd_seed_rich_v2
offline_6796,Çand,ku-kmr,'beranberdan' teriminin çand bağlamındaki karşılığı nedir?,Geleneksel toplumsal-dinî rolleri,kuşaktan kuşağa aktarılan anlatı,düğün ve kutlama ile ilişkilidir,koç katımı ve hayvancılık şenliği,D,'beranberdan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6797,Çand,ku-kmr,'Çand' bağlamında 'bêrîvan' tamamen uydurma bir terimdir.,Rast,Şaş,-,-,B,'bêrîvan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,true_false,,zankurd_seed_rich_v2
offline_6798,Çand,ku-kmr,'Çand' bağlamında 'misafirperverlik' tamamen uydurma bir terimdir.,Rast,Şaş,-,-,B,'misafirperverlik' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,true_false,,zankurd_seed_rich_v2
offline_6799,Çand,ku-kmr,'Şabaş' terimi çand kavramsal çerçevesinde yer alır.,Rast,Şaş,-,-,A,'şabaş' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,true_false,,zankurd_seed_rich_v2
offline_6800,Çand,ku-kmr,'Çand' bağlamında 'dengbêj' tamamen uydurma bir terimdir.,Rast,Şaş,-,-,B,'dengbêj' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,true_false,,zankurd_seed_rich_v2
offline_6801,Çand,ku-kmr,Aşağıdakilerden hangisi 'shivaniyeti' ile ilgili temel kavramlardan biridir?,Zulme karşı direniş ve yeniden doğuş,geleneksel çobanlık ve doğa bilgisi,Ekşili/etli sebze yemeği veya yahni,tandırda pişirilen geleneksel ekmek,B,'shivaniyeti' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,multiple_choice,,zankurd_seed_rich_v2
offline_6802,Çand,ku-kmr,'kıl çadır' kavramı çand açısından neyi ifade eder?,tandırda pişirilen geleneksel ekmek,koç katımı ve hayvancılık şenliği,göçebe Kürt aşiretlerinin barınağı,yabani gül ve bitkisel çay geleneği,C,'kıl çadır' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6803,Çand,ku-kmr,'Çand' alanında 'lûr' konusunun yeri nedir?,kınalı keklik ve doğa sevgisi sembolü,Kürt halk müziğinde ağıt benzeri ezgi,geleneksel Kürt yeleği veya giysisi,şırnak yöresine ait geleneksel dans,B,'lûr' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6804,Çand,ku-kmr,Çand bağlamında 'masal anlatımı' en çok hangi alanla veya tanımla ilişkilidir?,kuşaktan kuşağa aktarılan anlatı,düğün ve kutlama ile ilişkilidir,Mêvanperwerî (misafirperverlik),masallardaki altın saray motifi,A,'masal anlatımı' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
offline_6805,Çand,ku-kmr,Aşağıdakilerden hangisi 'memê alan' kavramının en uygun açıklamasıdır?,destansı Kürt halk anlatısı,Renkli geleneksel kıyafetler,sac üzerinde pişirilen ekmek,Halka biçiminde toplu dans,A,'memê alan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,multiple_choice,,zankurd_seed_rich_v2
offline_6806,Çand,ku-kmr,'Çand' çalışmalarında 'govendên herêmî' kavramı hangi konuyu aydınlatır?,Kızıl/Kırmızı Çarşamba,"Kırmızı, beyaz ve yeşil",Köy odaları ve dîwanlar,yöresel halk dansları,D,'govendên herêmî' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6807,Çand,ku-kmr,Aşağıdakilerden hangisi 'beranberdan' ile doğrudan bağlantılıdır?,koç katımı ve hayvancılık şenliği,komşuluk ve toplumsal yardımlaşma,siyah keçi kılından yapılan çadır,düğün ve kutlama ile ilişkilidir,A,'beranberdan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,multiple_choice,,zankurd_seed_rich_v2
offline_6808,Çand,ku-kmr,'kıl çadır' hakkında verilen bilgilerden hangisi en doğrudur?,Farklı halkların eşitlik ve barış içinde ortak yaşamını,'göçebe Kürt aşiretlerinin barınağı' ile doğrudan ilişkilidir.,"Gündelik yaşam, motif ve yerel estetik bilgisini taşıdığı için",Höyük üzerinde gelişmiş eski tahkimli yerleşim,B,'kıl çadır' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,multiple_choice,,zankurd_seed_rich_v2
offline_6809,Çand,ku-kmr,Aşağıdakilerden hangisi 'sînan' ile ilgili temel kavramlardan biridir?,geleneksel taş işçiliği,21 Adar ile ilişkilidir,Etnik ve dilsel topluluk,Dinî önder/yol gösterici,A,'sînan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,4,true,multiple_choice,,zankurd_seed_rich_v2
offline_6810,Çand,ku-kmr,'Masal anlatımı' terimi modern çand literatüründe kullanılmaz.,Rast,Şaş,-,-,B,'masal anlatımı' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,true_false,,zankurd_seed_rich_v2
offline_6811,Çand,ku-kmr,Aşağıdakilerden hangisi 'hewran' kavramının modern bağlamda kullanımıdır?,keça û kurê apê (kuzenler),sac üzerinde pişirilen ekmek,geleneksel kıl çadır yapımı,Renkli geleneksel kıyafetler,C,'hewran' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,multiple_choice,,zankurd_seed_rich_v2
offline_6812,Çand,ku-kmr,"'Dew û av', çand araştırmalarında geçerli bir kavramdır.",Rast,Şaş,-,-,A,'dew û av' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,true_false,,zankurd_seed_rich_v2
offline_6813,Çand,ku-kmr,Aşağıdakilerden hangisi 'reşmal' kavramının modern bağlamda kullanımıdır?,koç katımı ve hayvancılık şenliği,Dinî ilahi/sözlü kutsal metinler,siyah keçi kılından yapılan çadır,kuşaktan kuşağa aktarılan anlatı,C,'reşmal' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,multiple_choice,,zankurd_seed_rich_v2
offline_6814,Çand,ku-kmr,Aşağıdaki seçeneklerden hangisi 'bayramlaşma' kavramını tanımlar?,Müzik ve ritüel/ezgi geleneği,toplumsal bağları güçlendirme,cilûbergê kevneşopî yê mêran,geleneksel yedi tahıllı çorba,B,'bayramlaşma' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,2,true,multiple_choice,,zankurd_seed_rich_v2
offline_6815,Çand,ku-kmr,Aşağıdakilerden hangisi 'xana zêrîn' ile doğrudan bağlantılıdır?,Sözlü/ezbere aktarılan anlatıya,geleneksel ziyaret ve anma günü,masallardaki altın saray motifi,Mêvanperwerî (misafirperverlik),C,'xana zêrîn' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,multiple_choice,,zankurd_seed_rich_v2
offline_6816,Çand,ku-kmr,'Çand' çalışmalarında 'beranberdan' kavramı hangi konuyu aydınlatır?,geleneksel ziyaret ve anma günü,koç katımı ve hayvancılık şenliği,düğün ve kutlama ile ilişkilidir,düğünlerde geline takılan altınlar,B,'beranberdan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,3,true,multiple_choice,,zankurd_seed_rich_v2
offline_6817,Çand,ku-kmr,'Memê alan' kavramı Çand çalışmalarında önemli bir başlık olarak kabul edilir.,Rast,Şaş,-,-,A,'memê alan' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,true_false,,zankurd_seed_rich_v2
offline_6818,Çand,ku-kmr,'Çand' bağlamında 'kilim motifleri' tamamen uydurma bir terimdir.,Rast,Şaş,-,-,B,'kilim motifleri' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,5,true,true_false,,zankurd_seed_rich_v2
offline_6819,Çand,ku-kmr,Toplumsal yapı içinde 'reşmal' kavramının önemi nedir?,kültürel sembol ve renk hafızası,koç katımı ve hayvancılık şenliği,düğün ve kutlama ile ilişkilidir,siyah keçi kılından yapılan çadır,D,'reşmal' kavramı hakkında çand bağlamında bilgi edindirme amaçlanmıştır.,1,true,multiple_choice,,zankurd_seed_rich_v2
