candidate_id,source,license,source_category,difficulty,prompt_en,option_a_en,option_b_en,option_c_en,option_d_en,correct_option,translation_status,editorial_status
opentdb_remaining_0179,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"In ""The Simpsons"", what is the real name of ""Comic Book Guy""?",Jeff Albertson,Comic Book Guy,Edward Stone,Jack Richardson,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0180,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"""The A Team"" first aired in the USA and in the UK in what year?",1983,1981,1985,1987,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0181,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,Cesar Romero played which iconic Batman villain from the 1960's TV show?,The Joker,The Penguin,The Riddler,Mr. Freeze,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0182,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"What is the name of the inspector in the series ""On the Buses""?",Blakey,Harper,Naily,Gally,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0183,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,What was the name of the teenage witch played by Melisa Joan Hart who lives with her witch aunts Hilda and Zelda?,Sabrina,Hermione,Dorothy,Dahlia,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0184,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,hard,"Which PBS station was the first station to air ""Monty Python's Flying Circus"" (1969-1974) in the United States?",KERA (Dallas-Fort Worth),KLCS (Los Angeles),WETA (Washington D.C.),WNET (New York City),A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0185,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,Which British writer wrote for both Doctor Who and Sherlock?,Steven Moffatt,Phil Ford,Russell T Davies,Toby Whithouse,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0186,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,This composer worked on the 2003 TV series Battlestar Galatica.,Bear McCreary,Ramin Djawadi,Jeremy Soule,Harry Gregson-Williams,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0187,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"On the NBC show Community, whose catch-phrase was ""Pop! Pop!""?",Magnitude,Star Burns,Leonard,Senoir Chang,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0188,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"What is the name of the ""Flash"" and ""Arrow"" spinoff featuring a team of characters that have appeared on both shows?",Legends of Tomorrow,Heroes of Tomorrow,The Justice Society of America,The Justice Society,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0189,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"What was the name of the police officer in the cartoon ""Top Cat""?",Dibble,Barbrady,Mahoney,Murphy,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0190,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"In which year did the British television series ""The Bill"" end?",2010,2001,2007,2012,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0191,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,hard,"In season one of the US Kitchen Nightmares, Gordan Ramsay tried to save 10 different restaurants. How many ended up closing afterwards?",9,6,3,0,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0192,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"In the television show Breaking Bad, what is the street name of Walter and Jesse's notorious product?",Blue Sky,Baby Blue,Rock Candy,Pure Glass,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0193,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"In the show ""Dragonball Z"", what is the name of Cell's most powerful attack?",Solar Kamehameha,Super Kamehameha,Cell Kamehameha,Android Kamehameha,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0194,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"The 1985 Toyota Corolla ""AE86"" was the hero car for what anime? ",Initial D,Wangan Midnight,Ghost MF,Ex Driver,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0195,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,What was Nickelodeon's original name?,Pinwheel,MTVKids,KidsTV,Splat!,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0196,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,Who was the winner of the 2016 WWE Royal Rumble?,Triple H,Roman Reigns,AJ Styles,Dean Ambrose,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0197,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,Who won Big Brother 2014 UK?,Helen Wood,Christopher Hall,Pauline Bennett,"Pavandeep ""Pav"" Paul",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0198,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"Dee from ""It's Always Sunny in Philadelphia"" has dated all of the following guys EXCEPT","Matthew ""Rickety Cricket"" Mara",Colin the Thief,Ben the Soldier,Kevin Gallagher aka Lil' Kevin,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0199,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,hard,"In ""Star Trek"", what is the Klingon delicacy of ""gagh"" made from?",Serpent worms,Earthworms,Spaghetti noodles,Klingworms,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0200,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"When Donkey Kong died in the ""Donkey Kong Country"" episode ""It's a Wonderful Life"", who was his guardian angel?",Eddie the Mean Old Yeti,Kiddy Kong,Diddy Kong,King K. Rool,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0201,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,hard,"In ""Donkey Kong Country"", why does Donkey Kong want to know the secret of the crystal coconut?",He's the big kahuna.,To find out where all the bananas are.,Because Diddy Kong forced him.,He wants to punish brutes.,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0202,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,What is the name of the main antagonists in Battlestar Galactica?,The Cylons,The Collective,The Federation,The Rebels,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0203,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,What country is Cory in the House set in?,The United States of America,Canada,Venezuala,England,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0204,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"Which of these characters in ""Stranger Things"" has the power of Telekinesis?",Eleven,Mike,Lucas,Karen,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0205,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"In Naruto: Shippuden, which of the following elements is a ""Kekkei Tōta?""",Particle Style,Any Doujutsu,Shadow Style,Ice Style,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0206,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"Which actor portrays ""Walter White"" in the series ""Breaking Bad""?", Bryan Cranston,Andrew Lincoln,Aaron Paul,RJ Mitte,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0207,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,hard,"Which of these voices wasn't a choice for the House AI in ""The Simpsons Treehouse of Horror"" short, House of Whacks?",George Clooney,Matthew Perry,Dennis Miller,Pierce Brosnan,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0208,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"Which of the following figures did NOT have a cameo on ""The Drew Carey Show"" (1995-2004)?",Bill Cosby,Donald Trump,"""Weird Al"" Yankovic",Daffy Duck,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0209,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"Which WWF wrestler had the nickname ""The Ayatollah of Rock 'N' Rolla""?",Chris Jericho,Marty Jannetty,Scott Hall,Shawn Michaels,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0210,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,Who composed the theme song for The Simpsons?,Danny Elfman,John Williams,Hans Zimmer,Ennio Morricone,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0211,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,Which of the following won the first season of American Idol in 2002?,Kelly Clarkson,Justin Guarini,Ruben Studdard,Chris Daughtry,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0212,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"In the TV series ""Person of Interest"", who plays the character ""Harold Finch""?",Michael Emerson,Jim Caviezel,Taraji P. Henson,Kevin Chapman,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0213,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"In the TV show ""Cheers"", Sam Malone was a former relief pitcher for which baseball team?",Boston Red Sox,New York Mets,Baltimore Orioles,Milwaukee Brewers,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0214,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"Which movie served as the KTMA pilot episode for the show ""Mystery Science Theater 3000""?",The Green Slime,The Robot Vs. The Aztec Mummy,The Crawling Eye,Plan 9 From Outer Space,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0215,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"Who played the Waitress in the Spam sketch of ""Monty Python's Flying Circus""?",Terry Jones,Eric Idle,Graham Chapman,John Cleese,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0216,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,hard,"In the show 'Doctor Who', what is the name of the time-capsule model stolen by 'the Doctor'?","TT Type 40, Mark 3 (TARDIS)","TT Type 1, Mark 3 (TARDIS)","TT Type 40, Mark 5 (TARDIS)","TT Type 1, Mark 5 (TARDIS)",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0217,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,hard,"In 2008, British celebrity chef Gordon Ramsay believes he almost died after suffering what accident in Iceland while filming?","Slipping off a cliff, and nearly drowning in icy water",Crash landing when arriving at Keflavík airport,A minor car accident in a snowstorm,Being served under-cooked chicken at his hotel,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0218,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"In the show ""The Office"" who does Michael Scott eventually end up with?",Holly Flax,Angela Martin,Jan Levinson,Pam Beesly,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0219,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,Which of these television shows makes everyone look under their chair?,Oprah,Jimmy Fallon,Saturday Night Live,Larry Rubert,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0220,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,hard,Which of these in the Star Trek series is NOT Klingon food?,Hors d'oeuvre,Racht,Gagh,Bloodwine,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0221,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"In DuckTales, what is the name of the city where all the main characters live?",Duckburg,Duckwing,Tailspin,Wingford,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0222,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,What was the name of the the first episode of Doctor Who to air in 1963?,An Unearthly Child,The Daleks,The Aztecs,The Edge of Destruction,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0223,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,"Who co-founded the YouTube Let's Play channel ""Game Grumps"" alongside Newgrounds animator Egoraptor?",JonTron,Pewdiepie,Tobuscus,Markiplier,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0224,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,medium,When did Spongebob Squarepants first air?,"May 1, 1999","July 20, 2000","February 6, 2003","June 27, 1997",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0225,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Television,easy,"The HBO series ""Game of Thrones"" is based on which series of books?",A Song of Ice and Fire,The Wheel of Time,Harry Potter,The Notebook,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0226,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,"In the game ""DELTARUNE"", what is Ralsei's special ability?",Pacify,Persuade,Eliminate,Hug,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0227,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,Which of the following is not a playable race in the MMORPG Guild Wars 2? ,Tengu,Sylvari,Charr,Asura ,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0228,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,"In Hollow Knight, how many Precepts does Zote have?",Fifty-Seven,Sixty-Nine,Fourty-Three,Ninety-One,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0229,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,"In the game ""VA-11 Hall-A"" during Virgilio's ending, Virgilio opens his own:",Curry Stand,Bar,Museum,Law Firm,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0230,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"In Call Of Duty: Black Ops II, who is the main antagonist?",Raul Menéndez ,Vladimir Makarov ,Frank Woods,DeFalco,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0231,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,In which video game did Michael Fassbender star?,Fable 3,Call of Duty: Modern Warfare,Assassin's Creed 3,Red Dead Redemption,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0232,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"In ""Call Of Duty: Zombies"", which map features the ""Fly Trap"" easter egg?",Der Riese,Tranzit,Call Of The Dead,Shi No Numa,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0233,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"Which pop singer was brought in by SEGA to produce the music for ""Sonic the Hedgehog 3""?",Michael Jackson ,Prince,George Michael,Vanilla Ice ,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0234,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,"In World of Warcraft lore, which of the following is known as the God of Spiders in the troll's loa beliefs?",Elortha no Shadra,Bwonsamdi,Hakkar,Shirvallah,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0235,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,Who is the main protagonist in Danganronpa 2: Goodbye Despair?,Hajime Hinata,Nagito Komaeda,Makoto Naegi,Junko Enoshima,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0236,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,"Which of these characters in ""Undertale"" can the player NOT go on a date with?",Toriel,Papyrus,Undyne,Alphys,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0237,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,"Which Kingdom Hearts game featured the cast of ""The World Ends With You""?",Dream Drop Distance,Birth By Sleep,365/2 Days,Re:Chain of Memories,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0238,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"In ""The Binding of Isaac"", what is the name of the final boss that you fight in The Void?",Delirium,Mega Satan,Hush,The Lamb,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0239,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,What was the name of the protagonist in Portal and Portal 2?,Chell,Mel,Chloe,Christine,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0240,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,"In 2004, which person(s) created ""Roblox""?",David Baszucki and Erik Cassel,Erik Cassel,Jonas Alto and Sarah Smith,James Kolein,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0241,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,Which Kirby game first introduced Copy Abilities?,Kirby's Adventure,Kirby Super Star,Kirby's Dream Land 2,Kirby's Dream Land,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0242,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,"In the video game ""Metal Gear Solid"", what did Revolver Ocelot consider the greatest handgun ever made?",Colt Single Action Army,Colt Python,Colt M1892,Colt 1851 Navy Revolver,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0243,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"What is the name of Cream the Rabbit's mom in the ""Sonic the Hedgehog"" series?",Vanilla,Peach,Strawberry,Mint,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0244,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,When was Steam first released?,2003,2004,2011,2007,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0245,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,"""The Potato Sack"" was a collection of indie games released on Steam in 2011 as a promotion for which game?",Portal 2,Left 4 Dead 2,Half-Life 3,Dota 2,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0246,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"When was the video game ""P.A.M.E.L.A."" released on Steam?","March 9, 2017","January 7, 2007","October 23, 1997","February 16, 2015",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0247,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,Which soccer player is featured on the cover of EA Sport's FIFA 18?,Cristiano Ronaldo,Lionel Messi,Neymar,Harry Kane,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0248,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"In Hitman: Blood Money, what is the name of the target in the mission ""Death of a Showman""?",Joseph Clarence,The Swing King,Maynard John,Manuel Delgado,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0249,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"How many regular Sunken Sea Scrolls are there in ""Splatoon""?",27,32,30,5,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0250,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,Which of these characters won the Super Smash Bros. Fighter Ballot in 2015?,Bayonetta,Cloud,Ryu,Megaman,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0251,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"In PROTOTYPE 2, which of the following abilities/weapons is NOT obtained by an Evolved?",Tendrils,Blade,Bio-Bomb,Pack Leader,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0252,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"If you play the Super Mario RPG and nap in a rented hotel room, you will wake up next to what familiar looking character?",Link,Wario,Q*bert,Solid Snake,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0253,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,"In Terraria, which debuff does the ankh charm not provide immunity to?",Venom,Cursed,Bleeding,Slow,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0254,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,"Who is the main character in ""The Stanley Parable""?",Stanley,The Adventure Line,The Narrator,The Boss,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0255,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"Which of these symbols can be seen on the shirt of the 1993 video game character, Bubsy T. Bobcat?",An exclamation point,A question mark,The letter B,Nothing,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0256,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,What is the name of the 8th installment in the Fire Emblem series?,The Sacred Stones,Blazing Sword,Awakening,Path of Radiance,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0257,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,In which Mario game did the Mega Mushroom make its debut?,Mario Party 4,New Super Mario Bros.,Mario Kart Wii,Super Mario 3D World,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0258,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"In vanilla Minecraft, you can make armor out of all BUT which of the following?",Emeralds,Diamonds,Iron,Leather,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0259,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,"In Pokemon Red & Blue, what is the name of HM05?",Flash,Strength,Cut,Fly,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0260,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"In the game ""Dead By Daylight,"" which character starts with the perk ""Bond"".",Dwight Fairfield,Claudette Morell,Meg Thomas,Jake Park,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0261,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,Which member of the Velvet Room is not a playable character in Persona 4 Arena Ultimax?,Theodore,Elizabeth,Margaret,Marie,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0262,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,What year was the video game streaming platform TwitchTV founded?,2011,2012,2010,2014,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0263,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,"In Rust, how many Timed Explosive Charges does it take to destroy a Ladder Hatch?",1,3,2,5,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0264,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,"In the Video Game, Half-life, what type of US military force starts clearing out the Black Mesa Research Facility?",The HECU,Navy Seals,The Combine,The Marines,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0265,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"Which musical artist was NOT featured as playable avatars in the game ""DJ Hero""?",Dr. Dre,DJ Shadow,Daft Punk,Grandmaster Flash,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0266,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,Which franchise had a special event hosted in the popular MMORPG Final Fantasy XIV: A Realm Reborn?,Yo-kai Watch,Pokémon,Yu-gi-oh,Buddyfight,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0267,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,"In the game ""Terraria"", which of these bosses are pre-hardmode bosses?",Eye of Cthulhu,Plantera,Skeletron Prime,The Destroyer,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0268,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,Which of the following commercial vehicles from Grand Theft Auto IV did NOT reappear in Grand Theft Auto V?,Steed,Mule,Benson,Pony,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0269,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,What was the name of the protagonist of Metal Gear Solid V: The Phantom Pain?,"Punished ""Venom"" Snake",Miller,Solid Snake,Ocelot,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0270,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,easy,What is the most expensive weapon in Counter-Strike: Global Offensive?,Scar-20/G3SG1,M4A1,AWP,R8 Revolver,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0271,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,"In the PAYDAY series, where did Dallas start his criminal career?","Chicago, Illinois","Dallas, Texas","New York City, New York","Boston, Massachusetts",A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0272,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,Which of the following created and directed the Katamari Damacy series?,Keita Takahashi,Hideki Kamiya,Shu Takumi,Shinji Mikami,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0273,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,Which retro video game was released first?,Space Invaders,Galaga,Pac-Man,Asteroids,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0274,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,hard,Which of these games was NOT developed by Markus Persson?,Dwarf Fortress,Minecraft,Wurm Online,0x10c,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0275,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Video Games,medium,How many times do you fight the Imprisoned in The Legend of Zelda: Skyward Sword?,3,2,4,5,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0276,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Board Games,hard,Which of these cities is NOT featured in the Pandemic board game?,Berlin,Ho Chi Minh City,Lagos,Karachi,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
opentdb_remaining_0277,Open Trivia Database API,CC BY-SA 4.0,Entertainment: Board Games,hard,"In standard Monopoly, what's the rent if you land on Park Place with no houses?",$35,$30,$50,$45,A,NOT_TRANSLATED,SOURCE_CANDIDATE_ONLY
