id,category,prompt_lang,prompt,correct_answer
offline_9411,Edebiyat,ku,Ji bo Edebiyatê derbarê \'Arabê Şamo\' de vebijêrka rast kîjan e?,Şivanê Kurd adlı ilk Kürtçe romanın yazarı
offline_9419,Edebiyat,ku,Der barê \'Dîwana Melayê Cizîrî\' de ji bo wêjeyê bijardeya rast kîjan e?,mistik aşk ve felsefe içeren meşhur şiir divanı
offline_9434,Edebiyat,ku,\'Riya Taza gazetesi\' çawa tê pênasekirin?,Erivan\'da uzun yıllar basılan Kürtçe gazete
offline_9456,Edebiyat,ku,Ji bo \'Xanî Mektebi\' ravekirina herî dirust kîjan e?,Ehmedê Xanî\'nin başlattığı edebi ve düşünsel ekol
offline_9473,Edebiyat,ku,\'Arabê Şamo\' di mijara wêjeyê de çi vedibêje?,Şivanê Kurd adlı ilk Kürtçe romanın yazarı
offline_9474,Edebiyat,ku,Der barê \'Abdulla Goran\' de ji bo wêjeyê bijardeya rast kîjan e?,Sorani Kürtçe şiirinde modernleşmenin öncüsü
offline_9507,Edebiyat,ku,"Dema \'Riya Taza gazetesi\' tê gotin, çi tê xwestin?",Erivan\'da uzun yıllar basılan Kürtçe gazete
offline_9529,Edebiyat,ku,Kîjan têgeha \'Şivanê Kurd\' di nav wêjeyê de rast bi cih dike?,1935 yılında basılan ilk modern Kürtçe roman
offline_9552,Edebiyat,ku,Di zanîna wêjeyê de der barê \'Masture Erdelan\' de ya rast kîjan e?,tarihte divan yazmış ilk Kürt kadın tarihçi ve şair
offline_9579,Edebiyat,ku,\'Ferhad û Şîrîn\' di mijara wêjeyê de çi vedibêje?,Kürt sözlü geleneğinde de anlatılan klasik aşk hikayesi
offline_9582,Edebiyat,ku,\'Abdulla Goran\' wek kî tê naskirin?,Sorani Kürtçe şiirinde modernleşmenin öncüsü
offline_9594,Edebiyat,ku,Kîjan têgiha \'Nûbihara Biçukan\' rast şirove dike?,Ehmedê Xanî tarafından yazılan ilk Kürtçe sözlük
offline_9612,Edebiyat,ku,Têgiha \'kafiye\' çi pêk tîne?,ses uyumu
offline_9623,Edebiyat,ku,Derbarê \'tema\' de vebijêrka rast kîjan e?,ana düşünce
offline_9625,Edebiyat,ku,\'Osman Sabri\' wek kî tê naskirin?,modern Kürt hikayeciliğinin kurucu isimlerinden
offline_9636,Edebiyat,ku,Li jêr ji bo \'Ferhad û Şîrîn\' kîjan rast e?,Kürt sözlü geleneğinde de anlatılan klasik aşk hikayesi
offline_9668,Edebiyat,ku,Kîjan li gorî pênaseya \'Dewrêşê Evdî destanı\' ye?,Kürt sözlü edebiyatının en hüzünlü destanlarından biri
offline_9706,Edebiyat,ku,Li jêr ji bo \'Masture Erdelan\' kîjan rast e?,tarihte divan yazmış ilk Kürt kadın tarihçi ve şair
offline_9716,Edebiyat,ku,Derbarê \'Hêmin Mukriyanî\' de ya rast kîjan e?,Doğu Kürdistan\'ın meşhur modern şair ve yazarı
offline_9724,Edebiyat,ku,Ji bo \'Hawar Ekolü\' ravekirina herî dirust kîjan e?,Kürt aydınlanmasını ve Latin alfabesini yayan edebi akım
offline_9730,Edebiyat,ku,Di zanîna wêjeyê de der barê \'Şêrko Bêkes\' de ya rast kîjan e?,Kürt şiirine serbest tarzı getiren büyük şair
offline_9749,Edebiyat,ku,Ji bo Edebiyatê derbarê \'Qanadê Kurdo\' de vebijêrka rast kîjan e?,Kürt dili ve edebiyatı üzerine çalışan akademisyen
offline_9777,Edebiyat,ku,Li jêr kîjan têgiha \'Memê Alan destanı\' rave dike?,Ehmedê Xanî\'nin Mem û Zîn\'e ilham aldığı halk destanı
offline_9778,Edebiyat,ku,Di zanîna Edebiyatê de derbarê \'Nalî\' de ya rast kîjan e?,Soranice klasik şiir okulunun en büyük divan şairi
offline_9789,Edebiyat,ku,Kîjan kesê/a \'Kamuran Bedirxan\' rast dide nasîn?,Kürtçe gramer kitapları yazan dilbilimci ve yazar
offline_9810,Edebiyat,ku,Derbarê \'Xanî Mektebi\' de agahiya herî rast kîjan e?,Ehmedê Xanî\'nin başlattığı edebi ve düşünsel ekol
offline_9812,Edebiyat,ku,Di qada Edebiyatê de \'Masture Erdelan\' çi îfade dike?,tarihte divan yazmış ilk Kürt kadın tarihçi ve şair
offline_9820,Edebiyat,ku,Derbarê \'Nalî\' de ya rast kîjan e?,Soranice klasik şiir okulunun en büyük divan şairi
offline_9838,Edebiyat,ku,Ji aliyê wêjeyê ve ji bo \'Riya Taza gazetesi\' gotina rast kîjan e?,Erivan\'da uzun yıllar basılan Kürtçe gazete
offline_9867,Edebiyat,ku,Di dîrokê de \'Hejar Mukriyanî\' kî ye?,Şerefname ve Mem û Zîn\'i Soraniceye çeviren yazar
offline_9880,Edebiyat,ku,\'Ehmedê Xasî\' bi kîjan aliyê xwe ve tê nasîn?,Zazaca ilk mevlidi yazan şair ve din alimi
offline_9892,Edebiyat,ku,Ji bo \'Nûbihara Biçukan\' ravekirina herî dirust kîjan e?,Ehmedê Xanî tarafından yazılan ilk Kürtçe sözlük
offline_9918,Edebiyat,ku,Kîjan têgeha \'Evdirehîm Rehmî Hekarî\' di nav wêjeyê de rast bi cih dike?,Kürt tiyatrosunun kurucu oyun yazarlarından
offline_9936,Edebiyat,ku,Ji bo Edebiyatê derbarê \'Qedrîcan\' de vebijêrka rast kîjan e?,modern Kürt şiirinde ve nesrinde iz bırakmış yazar
offline_9942,Edebiyat,ku,\'Pertew Begê Hkarî\' bi kîjan aliyê xwe ve tê nasîn?,Hakkari emirliğinde yetişmiş klasik divan şairi
offline_9950,Edebiyat,ku,Di dîrokê de \'Melayê Bateyî\' kî ye?,Mevlid-i Şerif\'i Kürtçe yazan klasik şair
offline_9972,Edebiyat,ku,Ji bo \'Qedrîcan\' ravekirina herî dirust kîjan e?,modern Kürt şiirinde ve nesrinde iz bırakmış yazar
offline_9996,Edebiyat,ku,Kîjan kesê/a \'Qanadê Kurdo\' rast dide nasîn?,Kürt dili ve edebiyatı üzerine çalışan akademisyen
offline_9997,Edebiyat,ku,Têgiha \'Xanî Mektebi\' çi pêk tîne?,Ehmedê Xanî\'nin başlattığı edebi ve düşünsel ekol
offline_10024,Edebiyat,ku,Ji aliyê Edebiyatê ve ji bo \'Melayê Bateyî\' îfadeya rast kîjan e?,Mevlid-i Şerif\'i Kürtçe yazan klasik şair
offline_10045,Edebiyat,ku,Der barê \'Melayê Cizîrî\' de ji bo wêjeyê bijardeya rast kîjan e?,Kürt tasavvuf şiirinin klasik divan şairi
offline_10069,Edebiyat,ku,Di çarçoveya Edebiyatê de \'Hawar Ekolü\' çawa divê bê fêmkirin?,Kürt aydınlanmasını ve Latin alfabesini yayan edebi akım
offline_10071,Edebiyat,ku,Ji aliyê Edebiyatê ve ji bo \'Elî Herîrî\' îfadeya rast kîjan e?,Kürt edebiyatının bilinen en eski klasik şairlerinden
offline_10074,Edebiyat,ku,Ji aliyê wêjeyê ve ji bo \'Dîwana Melayê Cizîrî\' gotina rast kîjan e?,mistik aşk ve felsefe içeren meşhur şiir divanı
offline_10089,Edebiyat,ku,Ji bo Edebiyatê derbarê \'Yaşar Kemal\' de vebijêrka rast kîjan e?,"Kürt kökenli, dünya çapında tanınan usta romancı"
offline_10104,Edebiyat,ku,Di qada Edebiyatê de \'Yaşar Kemal\' çi îfade dike?,"Kürt kökenli, dünya çapında tanınan usta romancı"
offline_10157,Edebiyat,ku,Derbarê \'Hawar Ekolü\' de vebijêrka rast kîjan e?,Kürt aydınlanmasını ve Latin alfabesini yayan edebi akım
offline_10188,Edebiyat,ku,Ji bo Edebiyatê derbarê \'Şêrko Bêkes\' de vebijêrka rast kîjan e?,Kürt şiirine serbest tarzı getiren büyük şair
offline_10228,Edebiyat,ku,Di çarçoveya Edebiyatê de \'destan\' çawa divê bê fêmkirin?,kahramanlık anlatısı
offline_10260,Edebiyat,ku,Derbarê \'Elî Herîrî\' de agahiya rast kîjan e?,Kürt edebiyatının bilinen en eski klasik şairlerinden
offline_10271,Edebiyat,ku,Derbarê \'Dewrêşê Evdî destanı\' de ravekirina rast kîjan e?,Kürt sözlü edebiyatının en hüzünlü destanlarından biri
offline_10284,Edebiyat,ku,Der barê \'Mestûre Kurdistanî\' de ji bo wêjeyê bijardeya rast kîjan e?,Erdelan beyliğinde yaşamış ünlü kadın şair
offline_10314,Muzîk,ku,Bi \'serhad ezgileri\' çi tê xwestin? ya rast çi ye?,"Kars, Ağrı ve Van yöresine özgü lirik müzik tarzı"
offline_10320,Muzîk,ku,Li jêr ji bo \'dengbêjlik okulu\' kîjan rast e?,usta-çırak ilişkisiyle yürüyen müzikal aktarım
offline_10333,Muzîk,ku,Kîjan vebijêrk tê wateya \'zurna\'?,"yüksek sesli, açık havada çalınan nefesli çalgı"
offline_10352,Muzîk,ku,Di çarçoveya Muzîkê de \'dengbêjlik okulu\' çawa divê bê fêmkirin?,usta-çırak ilişkisiyle yürüyen müzikal aktarım
offline_10372,Muzîk,ku,Derbarê \'melodî\' de vebijêrka rast kîjan e?,seslerin ardışık dizilmesiyle oluşan ezgi
offline_10379,Muzîk,ku,Bi \'makam\' çi tê xwestin? ya rast çi ye?,Türk ve Kürt müziğinde ezgisel yapıyı belirleyen sistem
offline_10410,Muzîk,ku,Di zanîna Muzîkê de derbarê \'nota\' de ya rast kîjan e?,müziği kağıda dökmek için kullanılan evrensel işaretler
offline_10423,Muzîk,ku,Derbarê \'tembûr\' de vebijêrka rast kîjan e?,Kürt halk müziğinde en kutsal sayılan telli saz
offline_10427,Muzîk,ku,Bi \'hîran\' çi tê xwestin? ya rast çi ye?,Kürt halk müziğinde bir başka ezgi tarzı
offline_10433,Muzîk,ku,Li jêr ji bo \'Aram Tigran\' kîjan rast e?,Kürtçe şarkılarıyla tanınan Ermeni asıllı usta müzisyen
offline_10463,Muzîk,ku,Kîjan vebijêrk tê wateya \'lawik\'?,daha çok aşk ve yiğitlik üzerine söylenen müzik türü
offline_10480,Muzîk,ku,"Dema \'botan ezgileri\' tê gotin, çi tê xwestin?",Şırnak ve Cizre yöresinin ritmik ve makamsal müziği
offline_10498,Muzîk,ku,Kîjan di Muzîkê de têgiha \'Koma Amed\' rast bi cih dike?,90\'larda Kürt müziğinde devrim yapan alternatif müzik grubu
offline_10537,Muzîk,ku,Kîjan kesê/a \'Aynur Doğan\' rast dide nasîn?,modern dönemde Kürt halk müziğini icra eden sanatçı
offline_10547,Muzîk,ku,Derbarê \'Erdewan Zaxoyî\' de ya rast kîjan e?,Bahdinan bölgesinin sevilen devrimci müzisyeni
offline_10554,Muzîk,ku,Derbarê \'botan ezgileri\' de kîjan rast e?,Şırnak ve Cizre yöresinin ritmik ve makamsal müziği
offline_10566,Muzîk,ku,Derbarê \'nota\' de agahiya herî rast kîjan e?,müziği kağıda dökmek için kullanılan evrensel işaretler
offline_10572,Muzîk,ku,Li jêr ji bo \'Hasan Cizrawî\' kîjan rast e?,erken dönem Kürt müziği kayıtlarını yapan dengbêj
offline_10595,Muzîk,ku,Kîjan di Muzîkê de têgiha \'çeng\' rast bi cih dike?,antik Mezopotamya ve Kürt müziğinde kullanılan arp benzeri çalgı
offline_10613,Muzîk,ku,Derbarê \'çeng\' de vebijêrka rast kîjan e?,antik Mezopotamya ve Kürt müziğinde kullanılan arp benzeri çalgı
offline_10615,Muzîk,ku,Derbarê \'Meryem Xan\' de ya rast kîjan e?,Kürt müziğinde plak dolduran ilk Kürt kadın sanatçı
offline_10643,Muzîk,ku,Di dîrokê de \'Erdewan Zaxoyî\' kî ye?,Bahdinan bölgesinin sevilen devrimci müzisyeni
offline_10653,Muzîk,ku,\'Eyşeqan\' çi îfade dike?,Kürt kadın dengbêj geleneğinin en bilinen temsilcilerinden
offline_10654,Muzîk,ku,Di dîrokê de \'Meryem Xan\' kî ye?,Kürt müziğinde plak dolduran ilk Kürt kadın sanatçı
offline_10715,Muzîk,ku,\'Mihemed Taha Akreyî\' bi kîjan aliyê xwe ve tê nasîn?,Bahdinan bölgesinin popüler klasik halk sanatçısı
offline_10827,Muzîk,ku,\'Karapetê Xaço\' wek kî tê naskirin?,Kürt sözlü müziğini derleyen Ermeni asıllı dengbêj
offline_10853,Muzîk,ku,Ji aliyê Muzîkê ve ji bo \'makam\' îfadeya rast kîjan e?,Türk ve Kürt müziğinde ezgisel yapıyı belirleyen sistem
offline_10861,Muzîk,ku,Der barê \'şakiro stranları\' de ji bo muzîkê bijardeya rast kîjan e?,Şakiro\'nun seslendirdiği uzun soluklu destansı kilamlar
offline_10871,Muzîk,ku,Ji bo \'serhad ezgileri\' ravekirina herî dirust kîjan e?,"Kars, Ağrı ve Van yöresine özgü lirik müzik tarzı"
offline_10874,Muzîk,ku,Li jêr ji bo \'serhad ezgileri\' kîjan rast e?,"Kars, Ağrı ve Van yöresine özgü lirik müzik tarzı"
offline_10875,Muzîk,ku,Li jêr ji bo \'govend müziği\' ya rast kîjan e?,halaylarda çalınan hareketli ve ritmik halk şarkıları
offline_10882,Muzîk,ku,Di qada Muzîkê de \'zembîlfiroş stranı\' çi îfade dike?,efsaneyi anlatan meşhur geleneksel kilam
offline_10903,Muzîk,ku,Derbarê \'şevbêrk müziği\' de vebijêrka rast kîjan e?,kış gecesi sohbetlerinde icra edilen sözlü müzik
offline_10926,Muzîk,ku,Ji aliyê Muzîkê ve ji bo \'Mihemed Şêxo\' îfadeya rast kîjan e?,Kürt halkının ulusal duygularını seslendiren ozan
offline_10927,Muzîk,ku,Di qada Muzîkê de \'şabaş geleneği\' çi îfade dike?,müzisyenlere para atarak taltif etme adeti
offline_10930,Muzîk,ku,Têgiha \'dengbêj evi\' çi pêk tîne?,Van ve Diyarbakır\'da dengbêjlerin dinlendiği kültürel mekan
offline_10939,Muzîk,ku,Kîjan li gorî pênaseya \'koro\' ye?,topluluk halinde şarkı söyleme biçimi
offline_10940,Muzîk,ku,Ji aliyê Muzîkê ve ji bo \'Şivan Perwer\' îfadeya rast kîjan e?,Kürt müziğini dünyaya tanıtan en meşhur ses sanatçısı
offline_10963,Muzîk,ku,Di çarçoveya Muzîkê de \'Ciwan Haco\' çawa divê bê fêmkirin?,Kürt müziğine rock ve caz esintileri getiren sanatçı
offline_11008,Muzîk,ku,Derbarê \'Aynur Doğan\' de ya rast kîjan e?,modern dönemde Kürt halk müziğini icra eden sanatçı
offline_11056,Muzîk,ku,Kîjan têgiha \'dengbêj evi\' rast şirove dike?,Van ve Diyarbakır\'da dengbêjlerin dinlendiği kültürel mekan
offline_11068,Muzîk,ku,Li jêr ji bo \'behedînî ezgileri\' ya rast kîjan e?,Duhok ve Zaho yöresine has müzikal tarz
offline_11077,Muzîk,ku,Derbarê \'botan ezgileri\' de agahiya herî rast kîjan e?,Şırnak ve Cizre yöresinin ritmik ve makamsal müziği
offline_11087,Muzîk,ku,Ji bo \'zurna\' ravekirina herî dirust kîjan e?,"yüksek sesli, açık havada çalınan nefesli çalgı"
offline_11093,Muzîk,ku,Bi \'şabaş geleneği\' çi tê xwestin? ya rast çi ye?,müzisyenlere para atarak taltif etme adeti
offline_11103,Muzîk,ku,Kîjan kesê/a \'Koma Amed\' rast dide nasîn?,90\'larda Kürt müziğinde devrim yapan alternatif müzik grubu
offline_11107,Muzîk,ku,Di zanîna Muzîkê de derbarê \'kemençe\' de ya rast kîjan e?,Kürt coğrafyasında da çalınan yaylı çalgı
offline_11123,Muzîk,ku,Derbarê \'Şakiro\' de ravekirina rast kîjan e?,Kürtlerin \'şahê dengbêjan\' dediği güçlü ses
offline_11125,Muzîk,ku,Di dîrokê de \'Şivan Perwer\' kî ye?,Kürt müziğini dünyaya tanıtan en meşhur ses sanatçısı
offline_11127,Muzîk,ku,Ji bo Muzîkê derbarê \'Koma Wetan\' de vebijêrka rast kîjan e?,tarihteki ilk Kürtçe rock grubunun adı
offline_11133,Muzîk,ku,Kîjan têgeha \'Mihemed Şêxo\' di nav muzîkê de rast bi cih dike?,Kürt halkının ulusal duygularını seslendiren ozan
offline_11134,Muzîk,ku,Kîjan têgeha \'şevbêrk müziği\' di nav muzîkê de rast bi cih dike?,kış gecesi sohbetlerinde icra edilen sözlü müzik
offline_11136,Muzîk,ku,Derbarê \'ritim\' de vebijêrka rast kîjan e?,müziğin temelini oluşturan düzenli vuruşlar
offline_11152,Muzîk,ku,Têgiha \'Eyşeqan\' çi pêk tîne?,Kürt kadın dengbêj geleneğinin en bilinen temsilcilerinden
offline_11154,Muzîk,ku,Derbarê \'kilam\' de vebijêrka rast kîjan e?,dengbêjlerin söylediği destansı veya aşk temalı şarkı
offline_11160,Muzîk,ku,Li jêr kîjan têgiha \'hîran\' rave dike?,Kürt halk müziğinde bir başka ezgi tarzı
offline_11172,Muzîk,ku,Li jêr kîjan têgiha \'kilam\' rave dike?,dengbêjlerin söylediği destansı veya aşk temalı şarkı
offline_11180,Muzîk,ku,Têgiha \'dengbêj makamı\' çi pêk tîne?,kilamların okunduğu serbest ritimli vokal tarzı
offline_11189,Muzîk,ku,Kîjan di Muzîkê de têgiha \'Ciwan Haco\' rast bi cih dike?,Kürt müziğine rock ve caz esintileri getiren sanatçı
offline_11200,Muzîk,ku,Derbarê \'dahol\' de ravekirina rast kîjan e?,zurna ile birlikte çalınan ritim sazı
offline_11227,Muzîk,ku,Bi \'defbaz\' çi tê xwestin? ya rast çi ye?,erbane veya defi ustalıkla çalan ritim sanatçısı
offline_11294,Muzîk,ku,Ji aliyê Muzîkê ve ji bo \'erbane\' îfadeya rast kîjan e?,halk müziğinde yaygın olarak çalınan zilli tef
offline_11295,Muzîk,ku,Ji bo Muzîkê derbarê \'tembûr\' de vebijêrka rast kîjan e?,Kürt halk müziğinde en kutsal sayılan telli saz
offline_11326,Muzîk,ku,Kîjan pênase bi \'zaza müziği\' re li hev tê?,Dersim ve Bingöl yöresinde icra edilen Kürtçe müzik
offline_11341,Muzîk,ku,Di çarçoveya Muzîkê de \'Mihemed Taha Akreyî\' çawa divê bê fêmkirin?,Bahdinan bölgesinin popüler klasik halk sanatçısı
offline_11356,Muzîk,ku,Kîjan kesê/a \'Karapetê Xaço\' rast dide nasîn?,Kürt sözlü müziğini derleyen Ermeni asıllı dengbêj
offline_11366,Muzîk,ku,\'solo\' di mijara muzîkê de çi vedibêje?,tek bir sanatçının şarkı söylemesi veya çalması
offline_11383,Muzîk,ku,Derbarê \'heyran\' de agahiya herî rast kîjan e?,Serhat bölgesinde yaygın olan bir Kürt halk ezgisi türü
offline_11420,Muzîk,ku,Ji aliyê Muzîkê ve ji bo \'govend müziği\' îfadeya rast kîjan e?,halaylarda çalınan hareketli ve ritmik halk şarkıları
offline_11431,Muzîk,ku,Kîjan vebijêrk tê wateya \'dengbêj\'?,ezgili sözlü anlatım yapan sanatçı
offline_12832,Siyaset,tr,\'barışçıl çözüm\' çawa tê pênasekirin?,îrada çareserkirina pevçûnan bi diyalogê li şûna çekan
